productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
224718,Hero Decks: Welcome to Rathe - Katsu [1st Edition],Hero Decks Welcome to Rathe Katsu 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224718_200w.jpg,62,2730,https://cpt.tcgcsv.com/nVP2,2020-10-15T13:51:49.977,1,58.0,63.0,69.98,60.42,,Normal,,,,,,,,,,,,
225739,"Katsu, the Wanderer",Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225739_200w.jpg,62,2730,https://cpt.tcgcsv.com/PjQ2,2025-03-06T13:25:46.237,1,3.83,18.0,20.8,4.2,,1st Edition Normal,Common,KSU001,Hero,Ninja,4,40,,,,,,
225742,Katsu,Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225742_200w.jpg,62,2730,https://cpt.tcgcsv.com/SjQ2,2025-03-06T13:25:58.83,1,7.44,8.32,8.65,,,1st Edition Normal,Token,KSU002,Hero,Ninja,4,20,Young,,,,,
225746,Harmonized Kodachi,Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225746_200w.jpg,62,2730,https://cpt.tcgcsv.com/XjQ2,2025-03-06T13:35:01.493,1,2.85,4.05,5.25,3.02,,1st Edition Normal,Common,KSU003,Weapon,Ninja,,,Dagger (1H),1,,,,
225747,Harmonized Kodachi (Reverse),Harmonized Kodachi Reverse,https://tcgplayer-cdn.tcgplayer.com/product/225747_200w.jpg,62,2730,https://cpt.tcgcsv.com/ZjQ2,2025-03-20T18:14:42.703,1,4.19,4.6,5.0,4.32,,1st Edition Normal,Common,KSU004,Weapon,Ninja,,,Dagger (1H),1,,,,
225749,Ironrot Helm,Ironrot Helm,https://tcgplayer-cdn.tcgplayer.com/product/225749_200w.jpg,62,2730,https://cpt.tcgcsv.com/_jQ2,2025-03-06T14:22:11.57,1,1.84,3.99,3.99,,,1st Edition Normal,Common,KSU005,Equipment,Generic,,,Head,,1,,,
225751,Heartened Cross Strap,Heartened Cross Strap,https://tcgplayer-cdn.tcgplayer.com/product/225751_200w.jpg,62,2730,https://cpt.tcgcsv.com/2kQ2,2025-03-06T16:08:13.683,1,5.69,6.85,8.0,4.74,,1st Edition Normal,Common,KSU006,Equipment,Generic,,,Chest,,0,,,
225754,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225754_200w.jpg,62,2730,https://cpt.tcgcsv.com/6kQ2,2025-03-06T16:09:39,1,7.58,18.61,19.99,,,1st Edition Normal,Common,KSU007,Equipment,Ninja,,,Legs,,1,,,
225756,Ironrot Legs,Ironrot Legs,https://tcgplayer-cdn.tcgplayer.com/product/225756_200w.jpg,62,2730,https://cpt.tcgcsv.com/8kQ2,2025-03-06T14:22:20.253,1,0.29,0.29,0.48,,,1st Edition Normal,Common,KSU008,Equipment,Generic,,,Legs,,1,,,
225760,Blackout Kick (Red),Blackout Kick Red,https://tcgplayer-cdn.tcgplayer.com/product/225760_200w.jpg,62,2730,https://cpt.tcgcsv.com/dkQ2,2025-03-06T13:30:57.033,1,1.59,1.81,1.9,,,1st Edition Normal,Rare,KSU009,Action,Ninja,,,Attack,4,3,1,1,
225762,Energy Potion,Energy Potion,https://tcgplayer-cdn.tcgplayer.com/product/225762_200w.jpg,62,2730,https://cpt.tcgcsv.com/gkQ2,2025-03-06T13:30:41.22,1,1.46,1.68,3.5,1.92,,1st Edition Normal,Rare,KSU029,Action,Generic,,,Item,,,0,3,
