productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extCost,extPitchValue,extDefenseValue,extFlavorText,extPower,extTalent,extIntellect,extLife
453205,Blessing of Savagery (Blue),Blessing of Savagery Blue,https://tcgplayer-cdn.tcgplayer.com/product/453205_200w.jpg,62,17678,https://cpt.tcgcsv.com/7jF5,2024-05-09T16:27:46.737,1,0.01,0.2,1.39,0.09,,Normal,Rare,DYN015,Action,Aura,Brute,1,3,3,"<em>The blood of the enemy is worn as a reminder that strength rules all, here in the Savage Lands.</em>",,,,
453206,Madcap Charger (Red),Madcap Charger Red,https://tcgplayer-cdn.tcgplayer.com/product/453206_200w.jpg,62,17678,https://cpt.tcgcsv.com/8jF5,2024-05-13T13:00:03.55,1,0.15,0.31,1.09,0.25,,Rainbow Foil,Common,DYN016,Action,Attack,Brute,1,1,3,,5,,,
453206,Madcap Charger (Red),Madcap Charger Red,https://tcgplayer-cdn.tcgplayer.com/product/453206_200w.jpg,62,17678,https://cpt.tcgcsv.com/8jF5,2024-05-13T13:00:03.55,1,0.04,0.15,1.43,0.09,,Normal,Common,DYN016,Action,Attack,Brute,1,1,3,,5,,,
453208,Madcap Charger (Yellow),Madcap Charger Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453208_200w.jpg,62,17678,https://cpt.tcgcsv.com/bjF5,2024-05-13T13:00:15.35,1,0.02,0.15,1.4,0.02,,Normal,Common,DYN017,Action,Attack,Brute,1,2,3,,4,,,
453208,Madcap Charger (Yellow),Madcap Charger Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453208_200w.jpg,62,17678,https://cpt.tcgcsv.com/bjF5,2024-05-13T13:00:15.35,1,0.02,0.24,1.4,0.15,,Rainbow Foil,Common,DYN017,Action,Attack,Brute,1,2,3,,4,,,
453209,Madcap Charger (Blue),Madcap Charger Blue,https://tcgplayer-cdn.tcgplayer.com/product/453209_200w.jpg,62,17678,https://cpt.tcgcsv.com/cjF5,2024-05-13T12:59:51.113,1,0.07,0.25,1.45,,,Rainbow Foil,Common,DYN018,Action,Attack,Brute,1,3,3,,3,,,
453209,Madcap Charger (Blue),Madcap Charger Blue,https://tcgplayer-cdn.tcgplayer.com/product/453209_200w.jpg,62,17678,https://cpt.tcgcsv.com/cjF5,2024-05-13T12:59:51.113,1,0.03,0.15,1.41,0.09,,Normal,Common,DYN018,Action,Attack,Brute,1,3,3,,3,,,
453210,Madcap Muscle (Red),Madcap Muscle Red,https://tcgplayer-cdn.tcgplayer.com/product/453210_200w.jpg,62,17678,https://cpt.tcgcsv.com/djF5,2024-12-11T21:04:06.77,1,0.05,0.25,1.43,0.07,,Rainbow Foil,Common,DYN019,Action,Attack,Brute,1,1,3,,6,,,
453210,Madcap Muscle (Red),Madcap Muscle Red,https://tcgplayer-cdn.tcgplayer.com/product/453210_200w.jpg,62,17678,https://cpt.tcgcsv.com/djF5,2024-12-11T21:04:06.77,1,0.05,0.15,1.43,0.08,,Normal,Common,DYN019,Action,Attack,Brute,1,1,3,,6,,,
453212,Ironsong Pride,Ironsong Pride,https://tcgplayer-cdn.tcgplayer.com/product/453212_200w.jpg,62,17678,https://cpt.tcgcsv.com/gjF5,2024-05-10T13:53:38.813,1,0.99,2.24,10.0,1.81,,Rainbow Foil,Majestic,DYN072,Instant,Aura,Warrior,1,1,,,,,,
453212,Ironsong Pride,Ironsong Pride,https://tcgplayer-cdn.tcgplayer.com/product/453212_200w.jpg,62,17678,https://cpt.tcgcsv.com/gjF5,2024-05-10T13:53:38.813,1,0.89,1.83,9.99,1.34,,Normal,Majestic,DYN072,Instant,Aura,Warrior,1,1,,,,,,
453213,Blessing of Aether (Red),Blessing of Aether Red,https://tcgplayer-cdn.tcgplayer.com/product/453213_200w.jpg,62,17678,https://cpt.tcgcsv.com/hjF5,2022-11-11T05:03:14.093,1,0.05,0.2,1.43,0.15,,Normal,Rare,DYN200,Action,Aura,Wizard,1,1,2,,,,,
453213,Blessing of Aether (Red),Blessing of Aether Red,https://tcgplayer-cdn.tcgplayer.com/product/453213_200w.jpg,62,17678,https://cpt.tcgcsv.com/hjF5,2022-11-11T05:03:14.093,1,0.1,0.25,2.99,0.18,,Rainbow Foil,Rare,DYN200,Action,Aura,Wizard,1,1,2,,,,,
453214,Ironsong Pride (Extended Art),Ironsong Pride Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/453214_200w.jpg,62,17678,https://cpt.tcgcsv.com/jjF5,2024-05-10T13:54:05.19,1,33.0,39.6,50.0,18.28,,Rainbow Foil,Majestic,DYN072,Instant,Aura,Warrior,1,1,,,,,,
453215,Blessing of Aether (Yellow),Blessing of Aether Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453215_200w.jpg,62,17678,https://cpt.tcgcsv.com/kjF5,2022-11-11T05:03:14.093,1,0.09,0.25,1.48,,,Rainbow Foil,Rare,DYN201,Action,Aura,Wizard,1,2,2,,,,,
453215,Blessing of Aether (Yellow),Blessing of Aether Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453215_200w.jpg,62,17678,https://cpt.tcgcsv.com/kjF5,2022-11-11T05:03:14.093,1,0.01,0.15,1.39,0.04,,Normal,Rare,DYN201,Action,Aura,Wizard,1,2,2,,,,,
453216,Blessing of Aether (Blue),Blessing of Aether Blue,https://tcgplayer-cdn.tcgplayer.com/product/453216_200w.jpg,62,17678,https://cpt.tcgcsv.com/ljF5,2022-11-11T05:03:14.093,1,0.1,0.35,2.99,,,Rainbow Foil,Rare,DYN202,Action,Aura,Wizard,1,3,2,,,,,
453216,Blessing of Aether (Blue),Blessing of Aether Blue,https://tcgplayer-cdn.tcgplayer.com/product/453216_200w.jpg,62,17678,https://cpt.tcgcsv.com/ljF5,2022-11-11T05:03:14.093,1,0.03,0.2,1.41,0.1,,Normal,Rare,DYN202,Action,Aura,Wizard,1,3,2,,,,,
453217,Blessing of Steel (Red),Blessing of Steel Red,https://tcgplayer-cdn.tcgplayer.com/product/453217_200w.jpg,62,17678,https://cpt.tcgcsv.com/mjF5,2025-03-12T21:11:32.84,1,0.1,0.26,10.0,0.23,,Rainbow Foil,Rare,DYN073,Action,Aura,Warrior,1,1,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
