productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
532119,Heavy Hitters Blitz Deck - Betsy,Heavy Hitters Blitz Deck Betsy,https://tcgplayer-cdn.tcgplayer.com/product/532119_200w.jpg,62,23390,https://cpt.tcgcsv.com/pSg6,2024-02-02T05:03:19.723,0,4.01,9.24,16.43,9.24,,Normal,,,,,,,,,,,
537188,Betsy,betsy,https://tcgplayer-cdn.tcgplayer.com/product/537188_200w.jpg,62,23390,https://cpt.tcgcsv.com/NTj6,2024-02-02T05:03:19.723,1,1.49,2.25,9.99,2.43,,Rainbow Foil,Rare,BET001,Hero,Young,Guardian,4,20,,,,
537189,High Riser,high riser,https://tcgplayer-cdn.tcgplayer.com/product/537189_200w.jpg,62,23390,https://cpt.tcgcsv.com/PTj6,2024-02-02T05:03:19.723,1,1.0,1.3,1.49,0.28,,Normal,Common,BET002,Weapon,Hammer (1H),Guardian,,,3,,,
537190,Bloodied Oval,bloodied oval,https://tcgplayer-cdn.tcgplayer.com/product/537190_200w.jpg,62,23390,https://cpt.tcgcsv.com/QTj6,2024-02-02T05:03:19.723,1,0.25,0.25,0.99,0.25,,Normal,Common,BET003,Equipment,Off-Hand,Generic,,,,*,,
537191,Good Time Chapeau,good time chapeau,https://tcgplayer-cdn.tcgplayer.com/product/537191_200w.jpg,62,23390,https://cpt.tcgcsv.com/RTj6,2024-02-02T05:03:19.723,1,0.25,0.25,4.99,0.25,,Normal,Rare,BET004,Equipment,Head,Guardian,,,,2,,
537192,Vigor Girth,vigor girth,https://tcgplayer-cdn.tcgplayer.com/product/537192_200w.jpg,62,23390,https://cpt.tcgcsv.com/STj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.49,,,Normal,Common,BET005,Equipment,Chest,Guardian;Warrior,,,,1,,
537193,Gauntlet of Might,gauntlet of might,https://tcgplayer-cdn.tcgplayer.com/product/537193_200w.jpg,62,23390,https://cpt.tcgcsv.com/TTj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.25,0.2,,Normal,Common,BET006,Equipment,Arms,Brute;Guardian,,,,1,,
537194,Stand Ground,stand ground,https://tcgplayer-cdn.tcgplayer.com/product/537194_200w.jpg,62,23390,https://cpt.tcgcsv.com/VTj6,2024-02-02T05:03:19.723,1,0.2,0.25,0.99,,,Normal,Common,BET007,Equipment,Legs,Guardian,,,,0,,
537195,Command Respect (Red),command respect red,https://tcgplayer-cdn.tcgplayer.com/product/537195_200w.jpg,62,23390,https://cpt.tcgcsv.com/WTj6,2024-02-02T05:03:19.723,1,0.2,0.25,0.99,,,Normal,Common,BET008,Action,Attack,Guardian,,,6,3,3,1
537196,Concuss (Red),concuss red,https://tcgplayer-cdn.tcgplayer.com/product/537196_200w.jpg,62,23390,https://cpt.tcgcsv.com/XTj6,2024-02-02T05:03:19.723,1,0.25,0.28,0.99,0.23,,Normal,Common,BET009,Action,Attack,Guardian,,,6,3,3,1
537197,Over the Top (Red),over the top red,https://tcgplayer-cdn.tcgplayer.com/product/537197_200w.jpg,62,23390,https://cpt.tcgcsv.com/ZTj6,2024-02-02T05:03:19.723,1,0.2,0.25,2.25,,,Normal,Rare,BET010,Action,Attack,Guardian,,,6,3,3,1
537198,Smack of Reality,smack of reality,https://tcgplayer-cdn.tcgplayer.com/product/537198_200w.jpg,62,23390,https://cpt.tcgcsv.com/-Tj6,2024-02-02T05:03:19.723,1,0.25,0.3,2.49,,,Normal,Rare,BET011,Action,Attack,Guardian,,,9,3,5,1
537199,Wage Gold (Red),wage gold red,https://tcgplayer-cdn.tcgplayer.com/product/537199_200w.jpg,62,23390,https://cpt.tcgcsv.com/_Tj6,2024-02-02T05:03:19.723,1,0.25,0.27,3.99,0.25,,Normal,Rare,BET012,Action,Attack,Generic,,,7,2,3,1
537200,Wage Might (Red),wage might red,https://tcgplayer-cdn.tcgplayer.com/product/537200_200w.jpg,62,23390,https://cpt.tcgcsv.com/0Vj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.25,,,Normal,Common,BET013,Action,Attack,Brute;Guardian,,,7,2,3,1
537201,Wage Vigor (Red),wage vigor red,https://tcgplayer-cdn.tcgplayer.com/product/537201_200w.jpg,62,23390,https://cpt.tcgcsv.com/2Vj6,2024-02-02T05:03:19.723,1,0.25,0.25,1.49,0.23,,Normal,Common,BET014,Action,Attack,Guardian;Warrior,,,7,2,3,1
537202,Big Bop (Red),big bop red,https://tcgplayer-cdn.tcgplayer.com/product/537202_200w.jpg,62,23390,https://cpt.tcgcsv.com/3Vj6,2024-02-02T05:03:19.723,1,0.2,0.25,0.99,0.25,,Normal,Common,BET015,Action,Aura,Guardian,,,,2,3,1
537203,Bigger Than Big (Red),bigger than big red,https://tcgplayer-cdn.tcgplayer.com/product/537203_200w.jpg,62,23390,https://cpt.tcgcsv.com/5Vj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.25,,,Normal,Common,BET016,Action,Aura,Guardian,,,,2,3,1
537204,Money Where Ya Mouth Is (Red),money where ya mouth is red,https://tcgplayer-cdn.tcgplayer.com/product/537204_200w.jpg,62,23390,https://cpt.tcgcsv.com/6Vj6,2024-02-02T05:03:19.723,1,1.5,1.88,6.58,3.09,,Normal,Common,BET017,Action,,Generic,,,,2,1,1
537205,Money Where Ya Mouth Is (Yellow),money where ya mouth is yellow,https://tcgplayer-cdn.tcgplayer.com/product/537205_200w.jpg,62,23390,https://cpt.tcgcsv.com/7Vj6,2024-02-02T05:03:19.723,1,0.2,1.04,2.98,0.93,,Normal,Common,BET018,Action,,Generic,,,,2,1,2
537206,Command Respect (Blue),command respect blue,https://tcgplayer-cdn.tcgplayer.com/product/537206_200w.jpg,62,23390,https://cpt.tcgcsv.com/8Vj6,2024-02-02T05:03:19.723,1,0.2,0.25,0.99,,,Normal,Common,BET019,Action,Attack,Guardian,,,4,3,3,3
537207,Concuss (Blue),concuss blue,https://tcgplayer-cdn.tcgplayer.com/product/537207_200w.jpg,62,23390,https://cpt.tcgcsv.com/9Vj6,2024-02-02T05:03:19.723,1,0.25,0.25,0.99,0.23,,Normal,Common,BET020,Action,Attack,Guardian,,,4,3,3,3
537208,Over the Top (Blue),over the top blue,https://tcgplayer-cdn.tcgplayer.com/product/537208_200w.jpg,62,23390,https://cpt.tcgcsv.com/bVj6,2024-02-02T05:03:19.723,1,0.2,0.25,2.25,,,Normal,Rare,BET021,Action,Attack,Guardian,,,4,3,3,3
537209,Lunging Press,lunging press,https://tcgplayer-cdn.tcgplayer.com/product/537209_200w.jpg,62,23390,https://cpt.tcgcsv.com/cVj6,2024-02-02T05:03:19.723,1,0.25,0.25,1.49,,,Normal,Common,BET022,Attack Reaction,,Generic,,,,2,0,3
537210,Big Bop (Blue),big bop blue,https://tcgplayer-cdn.tcgplayer.com/product/537210_200w.jpg,62,23390,https://cpt.tcgcsv.com/dVj6,2024-02-02T05:03:19.723,1,0.2,0.25,0.99,,,Normal,Common,BET023,Action,Aura,Guardian,,,,2,3,3
537211,Bigger Than Big (Blue),bigger than big blue,https://tcgplayer-cdn.tcgplayer.com/product/537211_200w.jpg,62,23390,https://cpt.tcgcsv.com/fVj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.25,0.2,,Normal,Common,BET024,Action,Aura,Guardian,,,,2,3,3
537212,Money Where Ya Mouth Is (Blue),money where ya mouth is blue,https://tcgplayer-cdn.tcgplayer.com/product/537212_200w.jpg,62,23390,https://cpt.tcgcsv.com/gVj6,2024-02-02T05:03:19.723,1,0.4,0.74,2.25,1.25,,Normal,Common,BET025,Action,,Generic,,,,2,1,3
537213,Pint of Strong and Stout,pint of strong and stout,https://tcgplayer-cdn.tcgplayer.com/product/537213_200w.jpg,62,23390,https://cpt.tcgcsv.com/hVj6,2024-02-02T05:03:19.723,1,0.2,0.25,1.25,,,Normal,Common,BET026,Action,,Guardian,,,,2,0,3
537214,Stacked in Your Favor (Blue),stacked in your favor blue,https://tcgplayer-cdn.tcgplayer.com/product/537214_200w.jpg,62,23390,https://cpt.tcgcsv.com/jVj6,2024-02-02T05:03:19.723,1,0.2,0.25,2.49,,,Normal,Rare,BET027,Action,Aura,Guardian,,,,2,2,3
537215,Might,might,https://tcgplayer-cdn.tcgplayer.com/product/537215_200w.jpg,62,23390,https://cpt.tcgcsv.com/kVj6,2024-02-02T05:03:19.723,1,1.45,1.48,1.5,0.3,,Normal,Token,BET028,Token,Aura,Generic,,,,,,
537216,Vigor,vigor,https://tcgplayer-cdn.tcgplayer.com/product/537216_200w.jpg,62,23390,https://cpt.tcgcsv.com/lVj6,2024-02-02T05:03:19.723,1,,,,,,,Token,BET029,Token,Aura,Generic,,,,,,
537217,Gold,gold,https://tcgplayer-cdn.tcgplayer.com/product/537217_200w.jpg,62,23390,https://cpt.tcgcsv.com/mVj6,2024-02-02T05:03:19.723,1,1.45,1.48,1.5,0.9,,Normal,Token,BET030,Token,Item,Generic,,,,,,
538442,Might - FAB205,Might FAB205,https://tcgplayer-cdn.tcgplayer.com/product/538442_200w.jpg,62,23390,https://cpt.tcgcsv.com/Snk6,2024-02-13T15:51:25.293,0,148.59,149.34,163.45,128.7,,Cold Foil,Promo,FAB205,Token,Aura,Generic,,,,,,
