productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText,extIntellect,extLife
488495,Barbed Undertow,Barbed Undertow,https://tcgplayer-cdn.tcgplayer.com/product/488495_200w.jpg,62,22893,https://cpt.tcgcsv.com/WpW5,2024-05-08T14:36:26.563,1,0.47,1.0,14.99,0.6,,Normal,Majestic,OUT101,Action,Arrow Attack,Ranger,1,1,3,5,,,
488495,Barbed Undertow,Barbed Undertow,https://tcgplayer-cdn.tcgplayer.com/product/488495_200w.jpg,62,22893,https://cpt.tcgcsv.com/WpW5,2024-05-08T14:36:26.563,1,2.25,2.92,10.0,2.75,,Rainbow Foil,Majestic,OUT101,Action,Arrow Attack,Ranger,1,1,3,5,,,
488496,Freewheeling Renegades (Blue),Freewheeling Renegades Blue,https://tcgplayer-cdn.tcgplayer.com/product/488496_200w.jpg,62,22893,https://cpt.tcgcsv.com/XpW5,2024-05-08T19:04:06.923,1,0.02,0.15,1.44,0.08,,Normal,Common,OUT212,Action,Attack,Generic,1,3,2,4,"<em>Puff ya chest out...even more than that. Now, yer ready to fight!"" - Lena Belle</em>",,
488496,Freewheeling Renegades (Blue),Freewheeling Renegades Blue,https://tcgplayer-cdn.tcgplayer.com/product/488496_200w.jpg,62,22893,https://cpt.tcgcsv.com/XpW5,2024-05-08T19:04:06.923,1,0.05,0.25,1.45,0.25,,Rainbow Foil,Common,OUT212,Action,Attack,Generic,1,3,2,4,"<em>Puff ya chest out...even more than that. Now, yer ready to fight!"" - Lena Belle</em>",,
488497,Buzzsaw Trap,Buzzsaw Trap,https://tcgplayer-cdn.tcgplayer.com/product/488497_200w.jpg,62,22893,https://cpt.tcgcsv.com/ZpW5,2025-03-03T19:35:42.793,1,1.96,4.15,10.0,2.51,,Normal,Majestic,OUT102,Defense Reaction,Trap,Ranger,3,3,3,,,,
488497,Buzzsaw Trap,Buzzsaw Trap,https://tcgplayer-cdn.tcgplayer.com/product/488497_200w.jpg,62,22893,https://cpt.tcgcsv.com/ZpW5,2025-03-03T19:35:42.793,1,4.44,5.99,10.0,5.02,,Rainbow Foil,Majestic,OUT102,Defense Reaction,Trap,Ranger,3,3,3,,,,
488498,Mask of Many Faces,Mask of Many Faces,https://tcgplayer-cdn.tcgplayer.com/product/488498_200w.jpg,62,22893,https://cpt.tcgcsv.com/-pW5,2024-05-08T19:19:29.807,1,0.5,5.0,19.99,1.92,,Cold Foil,Common,OUT049,Equipment,Head,Ninja,,,1,,,,
488498,Mask of Many Faces,Mask of Many Faces,https://tcgplayer-cdn.tcgplayer.com/product/488498_200w.jpg,62,22893,https://cpt.tcgcsv.com/-pW5,2024-05-08T19:19:29.807,1,0.12,0.35,1.5,0.2,,Rainbow Foil,Common,OUT049,Equipment,Head,Ninja,,,1,,,,
488498,Mask of Many Faces,Mask of Many Faces,https://tcgplayer-cdn.tcgplayer.com/product/488498_200w.jpg,62,22893,https://cpt.tcgcsv.com/-pW5,2024-05-08T19:19:29.807,1,0.02,0.19,1.42,0.16,,Normal,Common,OUT049,Equipment,Head,Ninja,,,1,,,,
488499,Ravenous Rabble (Red),Ravenous Rabble Red,https://tcgplayer-cdn.tcgplayer.com/product/488499_200w.jpg,62,22893,https://cpt.tcgcsv.com/_pW5,2024-05-08T19:37:54.223,1,0.1,0.25,1.01,0.2,,Normal,Common,OUT213,Action,Attack,Generic,0,1,2,5,,,
