productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower
561279,Null // Shock,Null Shock,https://tcgplayer-cdn.tcgplayer.com/product/561279_200w.jpg,62,23540,https://cpt.tcgcsv.com/Cwv6,2024-09-20T04:08:44,1,2.5,3.54,5.0,2.78,,Normal,Majestic,ROS023,Instant,Wizard,Light,,,1,2,,,
561279,Null // Shock,Null Shock,https://tcgplayer-cdn.tcgplayer.com/product/561279_200w.jpg,62,23540,https://cpt.tcgcsv.com/Cwv6,2024-09-20T04:08:44,1,3.89,5.05,19.99,5.02,,Rainbow Foil,Majestic,ROS023,Instant,Wizard,Light,,,1,2,,,
561280,Comet Storm // Shock,Comet Storm Shock,https://tcgplayer-cdn.tcgplayer.com/product/561280_200w.jpg,62,23540,https://cpt.tcgcsv.com/Dwv6,2024-09-20T04:08:44,1,0.05,0.25,1.37,0.13,,Normal,Rare,ROS024,Action;Instant,Wizard,Lightning,,,2,1,3,,
561280,Comet Storm // Shock,Comet Storm Shock,https://tcgplayer-cdn.tcgplayer.com/product/561280_200w.jpg,62,23540,https://cpt.tcgcsv.com/Dwv6,2024-09-20T04:08:44,1,0.25,0.8,2.89,0.63,,Rainbow Foil,Rare,ROS024,Action;Instant,Wizard,Lightning,,,2,1,3,,
561281,Felling of the Crown,Felling of the Crown,https://tcgplayer-cdn.tcgplayer.com/product/561281_200w.jpg,62,23540,https://cpt.tcgcsv.com/Fwv6,2024-09-20T04:08:44,1,20.7,38.74,101.05,58.45,,Rainbow Foil,Majestic,ROS031,Action,,Earth,,,3,1,3,Attack,4
561281,Felling of the Crown,Felling of the Crown,https://tcgplayer-cdn.tcgplayer.com/product/561281_200w.jpg,62,23540,https://cpt.tcgcsv.com/Fwv6,2024-09-20T04:08:44,1,4.88,22.35,76.26,22.32,,Normal,Majestic,ROS031,Action,,Earth,,,3,1,3,Attack,4
561282,Channel the Millennium Tree,Channel the Millennium Tree,https://tcgplayer-cdn.tcgplayer.com/product/561282_200w.jpg,62,23540,https://cpt.tcgcsv.com/Gwv6,2024-09-20T04:08:44,1,10.0,17.74,21.89,17.47,,Normal,Majestic,ROS033,Action,,Earth,,,3,1,3,Aura,
561282,Channel the Millennium Tree,Channel the Millennium Tree,https://tcgplayer-cdn.tcgplayer.com/product/561282_200w.jpg,62,23540,https://cpt.tcgcsv.com/Gwv6,2024-09-20T04:08:44,1,12.0,24.89,27.99,15.36,,Rainbow Foil,Majestic,ROS033,Action,,Earth,,,3,1,3,Aura,
561283,Earth Form (Red),Earth Form Red,https://tcgplayer-cdn.tcgplayer.com/product/561283_200w.jpg,62,23540,https://cpt.tcgcsv.com/Hwv6,2024-09-20T04:08:44,1,0.08,0.25,1.42,0.19,,Normal,Rare,ROS036,Action,,Earth,,,3,1,2,Attack,7
561283,Earth Form (Red),Earth Form Red,https://tcgplayer-cdn.tcgplayer.com/product/561283_200w.jpg,62,23540,https://cpt.tcgcsv.com/Hwv6,2024-09-20T04:08:44,1,0.23,0.53,1.88,0.29,,Rainbow Foil,Rare,ROS036,Action,,Earth,,,3,1,2,Attack,7
