productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extCardSubType,extPower,extDefenseValue,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extFlavorText
652761,Sadistic Scowl,Sadistic Scowl,https://tcgplayer-cdn.tcgplayer.com/product/652761_200w.jpg,62,24371,https://cpt.tcgcsv.com/f7f7,2025-09-08T20:06:52.523,1,Rare,SUP095,Action,,Reviled,,,3,1,,,2,,,,,,,
652762,Turn the Crowd Hateful (Red),Turn the Crowd Hateful Red,https://tcgplayer-cdn.tcgplayer.com/product/652762_200w.jpg,62,24371,https://cpt.tcgcsv.com/g7f7,2025-09-08T20:07:56.27,1,Common,SUP114,Action,,Reviled,,,3,1,Attack,5,2,,,,,,,
652763,Turn the Crowd Hateful (Yellow),Turn the Crowd Hateful Yellow,https://tcgplayer-cdn.tcgplayer.com/product/652763_200w.jpg,62,24371,https://cpt.tcgcsv.com/h7f7,2025-09-08T20:08:38.5,1,Common,SUP115,Action,,Reviled,,,3,2,Attack,4,2,,,,,,,
652764,Turn the Crowd Hateful (Blue),Turn the Crowd Hateful Blue,https://tcgplayer-cdn.tcgplayer.com/product/652764_200w.jpg,62,24371,https://cpt.tcgcsv.com/j7f7,2025-09-08T20:09:11.363,1,Common,SUP116,Action,,Reviled,,,3,3,Attack,3,2,,,,,,,
652765,Villainous Pose (Red),Villainous Pose Red,https://tcgplayer-cdn.tcgplayer.com/product/652765_200w.jpg,62,24371,https://cpt.tcgcsv.com/k7f7,2025-09-08T20:11:59.237,1,Common,SUP120,Action,,Reviled,,,2,1,,,2,,,,,,,
652766,Villainous Pose (Yellow),Villainous Pose Yellow,https://tcgplayer-cdn.tcgplayer.com/product/652766_200w.jpg,62,24371,https://cpt.tcgcsv.com/l7f7,2025-09-08T20:12:49.033,1,Common,SUP121,Action,,Reviled,,,2,2,,,2,,,,,,,
652767,Villainous Pose (Blue),Villainous Pose Blue,https://tcgplayer-cdn.tcgplayer.com/product/652767_200w.jpg,62,24371,https://cpt.tcgcsv.com/m7f7,2025-09-08T20:14:10.103,1,Common,SUP122,Action,,Reviled,,,2,3,,,2,,,,,,,
653134,Cutting Retort,Cutting Retort,https://tcgplayer-cdn.tcgplayer.com/product/653134_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jgf7,2025-09-09T13:48:28.69,1,Majestic,SUP215,Action,Generic,,,,0,1,Attack,4,3,,,,,,,
653201,Good Natured Brutality,Good Natured Brutality,https://tcgplayer-cdn.tcgplayer.com/product/653201_200w.jpg,62,24371,https://cpt.tcgcsv.com/2jf7,2025-09-09T17:41:00.807,1,Majestic,SUP004,Action,Brute,Revered,,,2,2,Attack,6,0,,,,,,,"<em>Tuffnut couldn't believe his luck. For every friend he played wack-a-pal withy, two new buddies lined up for a turn!</em>"
653202,Good Natured Brutality (Extended Art),Good Natured Brutality Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/653202_200w.jpg,62,24371,https://cpt.tcgcsv.com/3jf7,2025-09-09T17:42:20.817,1,Majestic,SUP004,,,,,,2,2,,6,0,,,,,,,
