productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extPower,extDefenseValue,extFlavorText
276843,Rebellious Rush (Red),Rebellious Rush Red,https://tcgplayer-cdn.tcgplayer.com/product/276843_200w.jpg,62,3059,https://cpt.tcgcsv.com/TLd3,2022-07-01T04:03:09.413,1,0.15,0.25,1.23,,,Normal,Common,FAI017,Action,Attack,Ninja,Draconic,,,2,1,5,2,
276844,Dust Runner Outlaw (Red),Dust Runner Outlaw Red,https://tcgplayer-cdn.tcgplayer.com/product/276844_200w.jpg,62,3059,https://cpt.tcgcsv.com/VLd3,2022-07-01T04:03:09.413,1,0.15,0.25,1.23,,,Normal,Common,FAI018,Action,Attack,Ninja,Draconic,,,1,1,4,2,
276846,Ronin Renegade (Red),Ronin Renegade Red,https://tcgplayer-cdn.tcgplayer.com/product/276846_200w.jpg,62,3059,https://cpt.tcgcsv.com/XLd3,2022-07-01T04:03:09.413,1,0.15,0.5,4.96,0.15,,Normal,Common,FAI019,Action,Attack,Ninja,Draconic,,,0,1,3,2,
276847,Brand with Cinderclaw (Red),Brand with Cinderclaw Red,https://tcgplayer-cdn.tcgplayer.com/product/276847_200w.jpg,62,3059,https://cpt.tcgcsv.com/ZLd3,2022-07-01T04:03:09.413,1,3.5,5.0,5.25,,,Normal,Common,FAI020,Action,Attack,Ninja,Draconic,,,0,1,3,2,
276849,Trade In (Red),Trade In Red,https://tcgplayer-cdn.tcgplayer.com/product/276849_200w.jpg,62,3059,https://cpt.tcgcsv.com/_Ld3,2025-03-17T16:59:29.297,1,0.1,0.24,1.23,,,Normal,Common,FAI021,Action,Attack,Generic,,,,0,1,3,2,
276851,Flex (Red),Flex Red,https://tcgplayer-cdn.tcgplayer.com/product/276851_200w.jpg,62,3059,https://cpt.tcgcsv.com/2Md3,2022-07-01T04:03:09.413,1,0.15,0.25,1.22,0.25,,Normal,Rare,FAI022,Action,Attack,Generic,,,,0,1,4,2,
276852,Ronin Renegade (Blue),Ronin Renegade Blue,https://tcgplayer-cdn.tcgplayer.com/product/276852_200w.jpg,62,3059,https://cpt.tcgcsv.com/3Md3,2022-07-01T04:03:09.413,1,0.15,0.25,1.23,,,Normal,Common,FAI023,Action,Attack,Ninja,Draconic,,,0,3,1,2,
276854,Dust Runner Outlaw (Blue),Dust Runner Outlaw Blue,https://tcgplayer-cdn.tcgplayer.com/product/276854_200w.jpg,62,3059,https://cpt.tcgcsv.com/6Md3,2022-07-01T04:03:09.413,1,0.15,0.25,1.23,,,Normal,Common,FAI024,Action,Attack,Ninja,Draconic,,,1,3,2,2,
276855,Lava Vein Loyalty (Blue),Lava Vein Loyalty Blue,https://tcgplayer-cdn.tcgplayer.com/product/276855_200w.jpg,62,3059,https://cpt.tcgcsv.com/7Md3,2022-07-01T04:03:09.413,1,0.15,0.25,1.23,0.15,,Normal,Common,FAI025,Action,Attack,Ninja,Draconic,,,0,3,1,3,
276857,Cinderskin Devotion (Blue),Cinderskin Devotion Blue,https://tcgplayer-cdn.tcgplayer.com/product/276857_200w.jpg,62,3059,https://cpt.tcgcsv.com/9Md3,2025-03-17T16:52:46.34,1,0.25,0.35,0.87,0.35,,Normal,Common,FAI026,Action,Attack,Ninja,Draconic,,,1,3,2,3,
