productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,extPower,extIntellect,extLife,extFlavorText
271102,Ravenous Rabble (Red),Ravenous Rabble Red,https://tcgplayer-cdn.tcgplayer.com/product/271102_200w.jpg,62,3053,https://cpt.tcgcsv.com/3sb3,2025-03-13T18:22:35.023,1,0.12,0.25,1.5,0.2,,Normal,Common,1HP393,Action,Attack,Generic,2,0,1,5,,,
271103,Rune Flash (Red),Rune Flash Red,https://tcgplayer-cdn.tcgplayer.com/product/271103_200w.jpg,62,3053,https://cpt.tcgcsv.com/5sb3,2022-05-06T10:17:10.077,1,0.04,0.16,1.42,0.1,,Normal,Common,1HP288,Action,Attack,Runeblade,3,3,1,4,,,"<em>Ancient runes guard its dusty windows, its darkened halls where the Shadows sleep.</em>"
271104,"Kassai, Cintari Sellsword",Kassai Cintari Sellsword,https://tcgplayer-cdn.tcgplayer.com/product/271104_200w.jpg,62,3053,https://cpt.tcgcsv.com/6sb3,2025-03-13T18:22:25.767,1,0.15,0.35,4.67,0.28,,Normal,Rare,1HP140,Hero,Young,Warrior,,,,,4,20,
271105,Death Dealer,Death Dealer,https://tcgplayer-cdn.tcgplayer.com/product/271105_200w.jpg,62,3053,https://cpt.tcgcsv.com/7sb3,2025-03-13T18:22:15.68,1,0.15,0.5,1.3,0.44,,Normal,Common,1HP223,Weapon,Bow (2H),Ranger,,,,,,,
271106,Rune Flash (Yellow),Rune Flash Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271106_200w.jpg,62,3053,https://cpt.tcgcsv.com/8sb3,2022-05-06T10:17:12.87,1,0.05,0.2,1.06,,,Normal,Common,1HP289,Action,Attack,Runeblade,3,3,2,3,,,"<em>Ancient runes guard its dusty windows, its darkened halls where the Shadows sleep.</em>"
271107,Cintari Saber (1HP141),Cintari Saber 1HP141,https://tcgplayer-cdn.tcgplayer.com/product/271107_200w.jpg,62,3053,https://cpt.tcgcsv.com/9sb3,2025-03-13T18:22:07.097,1,0.08,0.25,1.46,0.21,,Normal,Rare,1HP141,Weapon,Sword (1H),Warrior,,,,2,,,
271108,Ravenous Rabble (Yellow),Ravenous Rabble Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271108_200w.jpg,62,3053,https://cpt.tcgcsv.com/bsb3,2025-03-13T18:21:58.62,1,0.04,0.15,1.42,0.06,,Normal,Common,1HP394,Action,Attack,Generic,2,0,2,4,,,
271109,Cintari Saber (1HP142),Cintari Saber 1HP142,https://tcgplayer-cdn.tcgplayer.com/product/271109_200w.jpg,62,3053,https://cpt.tcgcsv.com/csb3,2025-03-13T18:21:50.447,1,0.15,0.35,4.47,0.34,,Normal,Rare,1HP142,Weapon,Sword (1H),Warrior,,,,2,,,
271110,Rune Flash (Blue),Rune Flash Blue,https://tcgplayer-cdn.tcgplayer.com/product/271110_200w.jpg,62,3053,https://cpt.tcgcsv.com/dsb3,2022-05-06T10:17:07.187,1,0.05,0.18,1.43,0.05,,Normal,Common,1HP290,Action,Attack,Runeblade,3,3,3,2,,,"<em>Ancient runes guard its dusty windows, its darkened halls where the Shadows sleep.</em>"
271111,Red Liner,Red Liner,https://tcgplayer-cdn.tcgplayer.com/product/271111_200w.jpg,62,3053,https://cpt.tcgcsv.com/fsb3,2025-03-13T18:21:42.453,1,0.1,0.25,1.95,0.21,,Normal,Rare,1HP224,Weapon,Bow (2H),Ranger,,,,,,,
271112,Ravenous Rabble (Blue),Ravenous Rabble Blue,https://tcgplayer-cdn.tcgplayer.com/product/271112_200w.jpg,62,3053,https://cpt.tcgcsv.com/gsb3,2025-03-13T18:21:33.873,1,0.05,0.15,1.43,0.08,,Normal,Common,1HP395,Action,Attack,Generic,2,0,3,3,,,
271113,Skullbone Crosswrap,Skullbone Crosswrap,https://tcgplayer-cdn.tcgplayer.com/product/271113_200w.jpg,62,3053,https://cpt.tcgcsv.com/hsb3,2022-05-06T10:23:12.653,1,12.94,16.99,63.79,16.9,,Normal,Legendary,1HP225,Equipment,Head,Ranger,1,,,,,,
271114,Dawnblade,Dawnblade,https://tcgplayer-cdn.tcgplayer.com/product/271114_200w.jpg,62,3053,https://cpt.tcgcsv.com/jsb3,2025-03-13T18:11:21.56,1,0.25,0.36,1.64,0.34,,Normal,Common,1HP143,Weapon,Sword (2H),Warrior,,,,3,,,
271115,Bloodspill Invocation (Red),Bloodspill Invocation Red,https://tcgplayer-cdn.tcgplayer.com/product/271115_200w.jpg,62,3053,https://cpt.tcgcsv.com/ksb3,2022-05-06T09:53:29.883,1,0.05,0.15,1.43,0.1,,Normal,Common,1HP291,Action,Aura,Runeblade,2,1,1,,,,
271116,Bull's Eye Bracers,Bulls Eye Bracers,https://tcgplayer-cdn.tcgplayer.com/product/271116_200w.jpg,62,3053,https://cpt.tcgcsv.com/lsb3,2022-05-06T09:54:26.213,1,0.1,0.22,4.54,0.19,,Normal,Common,1HP226,Equipment,Arms,Ranger,0,,,,,,
271117,Bloodspill Invocation (Yellow),Bloodspill Invocation Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271117_200w.jpg,62,3053,https://cpt.tcgcsv.com/msb3,2022-05-06T09:53:33.89,1,0.04,0.15,1.42,0.04,,Normal,Common,1HP292,Action,Aura,Runeblade,2,1,2,,,,
271118,Perch Grapplers,Perch Grapplers,https://tcgplayer-cdn.tcgplayer.com/product/271118_200w.jpg,62,3053,https://cpt.tcgcsv.com/nsb3,2025-03-13T18:21:23.87,1,0.5,2.19,16.01,1.46,,Normal,Majestic,1HP227,Equipment,Legs,Ranger,2,,,,,,
