productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower,extFlavorText,extTalent
528098,Bloodied Oval,Bloodied Oval,https://tcgplayer-cdn.tcgplayer.com/product/528098_200w.jpg,62,23354,https://cpt.tcgcsv.com/-ff6,2025-03-17T22:00:49.323,1,9.93,15.75,68.7,14.75,,Cold Foil,Common,HVY206,Equipment,Generic,,,,,*,Off-Hand,,,
528098,Bloodied Oval,Bloodied Oval,https://tcgplayer-cdn.tcgplayer.com/product/528098_200w.jpg,62,23354,https://cpt.tcgcsv.com/-ff6,2025-03-17T22:00:49.323,1,0.01,0.2,1.58,0.14,,Normal,Common,HVY206,Equipment,Generic,,,,,*,Off-Hand,,,
529734,Heavy Hitters Blitz Deck Display,Heavy Hitters Blitz Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/529734_200w.jpg,62,23354,https://cpt.tcgcsv.com/JVf6,2024-02-02T05:03:19.723,1,69.99,79.32,100.0,47.63,,Normal,,,,,,,,,,,,,
531871,Boast,Boast,https://tcgplayer-cdn.tcgplayer.com/product/531871_200w.jpg,62,23354,https://cpt.tcgcsv.com/rMg6,2025-03-17T20:25:05.07,1,0.2,0.78,10.0,0.48,,Normal,Majestic,HVY060,Block,Guardian,,,,3,3,,,,
531871,Boast,Boast,https://tcgplayer-cdn.tcgplayer.com/product/531871_200w.jpg,62,23354,https://cpt.tcgcsv.com/rMg6,2025-03-17T20:25:05.07,1,0.09,1.2,15.0,1.05,,Rainbow Foil,Majestic,HVY060,Block,Guardian,,,,3,3,,,,
531873,The Golden Son,The Golden Son,https://tcgplayer-cdn.tcgplayer.com/product/531873_200w.jpg,62,23354,https://cpt.tcgcsv.com/tMg6,2024-02-02T05:03:19.723,1,3.07,4.99,15.0,3.77,,Normal,Majestic,HVY059,Action,Guardian,,,4,2,3,Attack,7,"<em>""Why wait for divine intervention, when gold can pave the way - Victor Goldmane</em>",
531873,The Golden Son,The Golden Son,https://tcgplayer-cdn.tcgplayer.com/product/531873_200w.jpg,62,23354,https://cpt.tcgcsv.com/tMg6,2024-02-02T05:03:19.723,1,4.35,6.01,19.53,5.41,,Rainbow Foil,Majestic,HVY059,Action,Guardian,,,4,2,3,Attack,7,"<em>""Why wait for divine intervention, when gold can pave the way - Victor Goldmane</em>",
531874,Miller's Grindstone,Millers Grindstone,https://tcgplayer-cdn.tcgplayer.com/product/531874_200w.jpg,62,23354,https://cpt.tcgcsv.com/vMg6,2024-02-06T20:21:36.273,1,0.05,0.25,1.5,0.17,,Normal,Rare,HVY050,Weapon,Guardian,,,,,,Hammer (1H),4,,
531874,Miller's Grindstone,Millers Grindstone,https://tcgplayer-cdn.tcgplayer.com/product/531874_200w.jpg,62,23354,https://cpt.tcgcsv.com/vMg6,2024-02-06T20:21:36.273,1,3.94,5.98,25.0,4.13,,Cold Foil,Rare,HVY050,Weapon,Guardian,,,,,,Hammer (1H),4,,
531876,Stacked in Your Favor (Blue),Stacked in Your Favor Blue,https://tcgplayer-cdn.tcgplayer.com/product/531876_200w.jpg,62,23354,https://cpt.tcgcsv.com/xMg6,2025-03-17T22:03:43.347,1,0.03,0.2,1.62,0.09,,Normal,Rare,HVY070,,,,,2,3,2,,,,
531876,Stacked in Your Favor (Blue),Stacked in Your Favor Blue,https://tcgplayer-cdn.tcgplayer.com/product/531876_200w.jpg,62,23354,https://cpt.tcgcsv.com/xMg6,2025-03-17T22:03:43.347,1,0.2,0.25,1.98,0.28,,Rainbow Foil,Rare,HVY070,,,,,2,3,2,,,,
531877,Stacked in Your Favor (Yellow),Stacked in Your Favor Yellow,https://tcgplayer-cdn.tcgplayer.com/product/531877_200w.jpg,62,23354,https://cpt.tcgcsv.com/zMg6,2025-03-17T22:03:47.807,1,0.09,0.25,5.38,0.14,,Rainbow Foil,Rare,HVY069,Action,Guardian,,,2,2,2,Aura,,,
531877,Stacked in Your Favor (Yellow),Stacked in Your Favor Yellow,https://tcgplayer-cdn.tcgplayer.com/product/531877_200w.jpg,62,23354,https://cpt.tcgcsv.com/zMg6,2025-03-17T22:03:47.807,1,0.01,0.24,1.6,0.12,,Normal,Rare,HVY069,Action,Guardian,,,2,2,2,Aura,,,
531878,Stacked in Your Favor (Red),Stacked in Your Favor Red,https://tcgplayer-cdn.tcgplayer.com/product/531878_200w.jpg,62,23354,https://cpt.tcgcsv.com/BMg6,2025-03-17T22:03:52.913,1,0.01,0.2,1.6,0.09,,Normal,Rare,HVY068,Action,Guardian,,,2,1,2,Aura,,,
531878,Stacked in Your Favor (Red),Stacked in Your Favor Red,https://tcgplayer-cdn.tcgplayer.com/product/531878_200w.jpg,62,23354,https://cpt.tcgcsv.com/BMg6,2025-03-17T22:03:52.913,1,0.1,0.27,10.99,0.27,,Rainbow Foil,Rare,HVY068,Action,Guardian,,,2,1,2,Aura,,,
531880,Victor Goldmane // Betsy,Victor Goldmane Betsy,https://tcgplayer-cdn.tcgplayer.com/product/531880_200w.jpg,62,23354,https://cpt.tcgcsv.com/DMg6,2025-03-17T21:32:04.463,2,0.01,0.15,0.79,0.04,,Normal,Token,HVY048 // HVY046,Hero,Guardian,4,20,,,,Young,,,
531881,"Victor Goldmane, High and Mighty",Victor Goldmane High and Mighty,https://tcgplayer-cdn.tcgplayer.com/product/531881_200w.jpg,62,23354,https://cpt.tcgcsv.com/FMg6,2025-03-17T21:32:12.607,1,0.25,0.83,3.5,0.74,,Normal,Majestic,HVY047,Hero,Guardian,4,40,,,,,,,
532468,"Kayo, Armed and Dangerous",Kayo Armed and Dangerous,https://tcgplayer-cdn.tcgplayer.com/product/532468_200w.jpg,62,23354,https://cpt.tcgcsv.com/n_g6,2024-02-02T05:03:19.723,1,0.04,0.95,6.0,0.44,,Normal,Majestic,HVY001,Hero,Brute,4,40,,,,,,,
533023,Ball Breaker,ball breaker,https://tcgplayer-cdn.tcgplayer.com/product/533023_200w.jpg,62,23354,https://cpt.tcgcsv.com/tdh6,2024-02-02T05:03:19.723,1,0.05,0.25,0.99,0.11,,Normal,Rare,HVY006,Weapon,Brute,,,,,,Flail (1H),3,,
533023,Ball Breaker,ball breaker,https://tcgplayer-cdn.tcgplayer.com/product/533023_200w.jpg,62,23354,https://cpt.tcgcsv.com/tdh6,2024-02-02T05:03:19.723,1,0.85,1.16,12.0,1.11,,Cold Foil,Rare,HVY006,Weapon,Brute,,,,,,Flail (1H),3,,
