productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
224719,Hero Decks: Welcome to Rathe - Rhinar [1st Edition],Hero Decks Welcome to Rathe Rhinar 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224719_200w.jpg,62,2729,https://cpt.tcgcsv.com/pVP2,2020-10-24T00:51:48.447,1,26.0,39.99,56.9,27.79,,Normal,,,,,,,,,,,,
225318,"Rhinar, Reckless Rampage",Rhinar Reckless Rampage,https://tcgplayer-cdn.tcgplayer.com/product/225318_200w.jpg,62,2729,https://cpt.tcgcsv.com/n8Q2,2020-10-24T00:52:59.427,1,7.68,7.7,18.0,,,1st Edition Normal,Common,RNR001,Hero,Brute,4,40,,,,,,
225321,Rhinar,Rhinar,https://tcgplayer-cdn.tcgplayer.com/product/225321_200w.jpg,62,2729,https://cpt.tcgcsv.com/r8Q2,2020-10-24T00:52:53.13,1,2.0,2.29,2.4,,,1st Edition Normal,Token,RNR002,Hero,Brute,4,20,Young,,,,,
225324,Romping Club,Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/225324_200w.jpg,62,2729,https://cpt.tcgcsv.com/v8Q2,2020-10-24T00:53:06.83,1,1.0,3.14,3.74,3.0,,1st Edition Normal,Common,RNR003,Weapon,Brute,,,Club (2H),4,,,,
225326,Ironrot Helm,Ironrot Helm,https://tcgplayer-cdn.tcgplayer.com/product/225326_200w.jpg,62,2729,https://cpt.tcgcsv.com/x8Q2,2020-10-24T00:52:05.497,1,2.45,3.11,3.27,,,1st Edition Normal,Common,RNR004,Equipment,Generic,,,Head,,1,,,
225328,Barkbone Strapping,Barkbone Strapping,https://tcgplayer-cdn.tcgplayer.com/product/225328_200w.jpg,62,2729,https://cpt.tcgcsv.com/B8Q2,2020-10-24T00:50:42.64,1,2.0,2.09,3.1,,,1st Edition Normal,Common,RNR005,Equipment,Brute,,,Chest,,1,,,
225330,Ironrot Gauntlet,Ironrot Gauntlet,https://tcgplayer-cdn.tcgplayer.com/product/225330_200w.jpg,62,2729,https://cpt.tcgcsv.com/D8Q2,2020-10-24T00:51:57.193,1,3.1,3.11,3.27,,,1st Edition Normal,Common,RNR006,Equipment,Generic,,,Arms,,1,,,
225331,Snapdragon Scalers,Snapdragon Scalers,https://tcgplayer-cdn.tcgplayer.com/product/225331_200w.jpg,62,2729,https://cpt.tcgcsv.com/F8Q2,2020-10-24T00:54:22.87,1,6.09,6.1,6.1,6.36,,1st Edition Normal,Common,RNR007,Equipment,Generic,,,Legs,,0,,,
225333,Breakneck Battery (Red),Breakneck Battery Red,https://tcgplayer-cdn.tcgplayer.com/product/225333_200w.jpg,62,2729,https://cpt.tcgcsv.com/H8Q2,2020-10-24T00:51:18.073,1,1.98,2.95,3.91,,,1st Edition Normal,Rare,RNR008,Action,Brute,,,Attack,6,3,2,1,
225334,Pack Hunt (Red),Pack Hunt Red,https://tcgplayer-cdn.tcgplayer.com/product/225334_200w.jpg,62,2729,https://cpt.tcgcsv.com/J8Q2,2020-10-24T00:52:13.88,1,0.83,0.88,1.21,,,1st Edition Normal,Common,RNR009,Action,Brute,,,Attack,6,3,2,1,"<em>Horrific beasts lurk within the shadows, their gaping maws dripping with blood.</em>"
