productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extDefenseValue,extCost,extPitchValue,extPower,extFlavorText
561390,Lace with Bloodrot,Lace with Bloodrot,https://tcgplayer-cdn.tcgplayer.com/product/561390_200w.jpg,62,23558,https://cpt.tcgcsv.com/Qzv6,2025-03-17T20:45:56.167,1,0.3,0.46,1.0,0.48,,Normal,Rare,AAZ017,Action,Ranger,,,,2,0,1,,
561396,Lace with Frailty,Lace with Frailty,https://tcgplayer-cdn.tcgplayer.com/product/561396_200w.jpg,62,23558,https://cpt.tcgcsv.com/Xzv6,2025-03-17T20:45:45.62,1,0.16,0.28,0.55,0.32,,Normal,Rare,AAZ018,Action,Ranger,,,,2,0,1,,
561397,Lace with Inertia,Lace with Inertia,https://tcgplayer-cdn.tcgplayer.com/product/561397_200w.jpg,62,23558,https://cpt.tcgcsv.com/Zzv6,2025-03-17T20:45:32.283,1,0.2,0.38,205971.92,0.42,,Normal,Rare,AAZ019,Action,Ranger,,,,2,0,1,,
561398,Point the Tip,Point the Tip,https://tcgplayer-cdn.tcgplayer.com/product/561398_200w.jpg,62,23558,https://cpt.tcgcsv.com/-zv6,2025-03-17T20:50:09.767,1,0.1,0.26,0.5,0.24,,Normal,Common,AAZ020,Action,Ranger,,,,2,0,1,,
561399,Read the Glide Path (Red),Read the Glide Path Red,https://tcgplayer-cdn.tcgplayer.com/product/561399_200w.jpg,62,23558,https://cpt.tcgcsv.com/_zv6,2025-03-18T12:42:08.093,1,0.15,0.27,0.5,0.27,,Normal,Common,AAZ021,Action,Ranger,,,,2,0,1,,
561400,Read the Glide Path (Yellow),Read the Glide Path Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561400_200w.jpg,62,23558,https://cpt.tcgcsv.com/0Bv6,2025-03-18T12:42:23.34,1,0.1,0.25,0.5,0.1,,Normal,Common,AAZ025,Action,Ranger,,,Arrow Attack,2,0,2,,
561401,Scout the Periphery,Scout the Periphery,https://tcgplayer-cdn.tcgplayer.com/product/561401_200w.jpg,62,23558,https://cpt.tcgcsv.com/2Bv6,2025-03-17T21:07:25.963,1,0.15,0.25,0.5,0.25,,Normal,Common,AAZ022,Action,Ranger,,,,2,0,1,,
561402,Spire Sniping (Yellow),Spire Sniping Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561402_200w.jpg,62,23558,https://cpt.tcgcsv.com/3Bv6,2025-03-17T21:07:17.09,1,0.1,0.25,0.75,0.25,,Normal,Common,AAZ023,Action,Ranger,,,Arrow Attack,3,1,2,4,
561403,Spire Sniping (Blue),Spire Sniping Blue,https://tcgplayer-cdn.tcgplayer.com/product/561403_200w.jpg,62,23558,https://cpt.tcgcsv.com/5Bv6,2025-03-17T21:07:13.18,1,0.1,0.25,0.75,0.23,,Normal,Common,AAZ028,Action,Ranger,,,Arrow Attack,3,1,3,3,
561404,Line It Up,Line It Up,https://tcgplayer-cdn.tcgplayer.com/product/561404_200w.jpg,62,23558,https://cpt.tcgcsv.com/6Bv6,2025-03-18T12:46:03.457,1,3.6,5.12,16.99,5.09,,Rainbow Foil,Majestic,AAZ024,Action,Ranger,,,,3,1,2,,
561404,Line It Up,Line It Up,https://tcgplayer-cdn.tcgplayer.com/product/561404_200w.jpg,62,23558,https://cpt.tcgcsv.com/6Bv6,2025-03-18T12:46:03.457,1,1.75,3.15,9.99,2.12,,Normal,Majestic,AAZ024,Action,Ranger,,,,3,1,2,,
561405,Memorial Ground,Memorial Ground,https://tcgplayer-cdn.tcgplayer.com/product/561405_200w.jpg,62,23558,https://cpt.tcgcsv.com/7Bv6,2025-03-18T12:47:55.643,1,0.34,0.35,0.5,0.29,,Normal,Common,AAZ026,Action,Generic,,,,,0,2,,
561408,Nock the Deathwhistle,Nock the Deathwhistle,https://tcgplayer-cdn.tcgplayer.com/product/561408_200w.jpg,62,23558,https://cpt.tcgcsv.com/bBv6,2025-03-17T20:45:16.283,1,0.2,0.64,4.5,0.64,,Normal,Majestic,AAZ029,Action,Ranger,,,,3,0,3,,
565214,Hidden Agenda (Purple),Hidden Agenda Purple,https://tcgplayer-cdn.tcgplayer.com/product/565214_200w.jpg,62,23558,https://cpt.tcgcsv.com/j6x6,2024-08-23T20:31:32.653,1,49.43,50.67,69.69,46.53,,Rainbow Foil,Majestic,AAZ005,Equipment,Ranger,,,Chest,,,,,
565624,Bloodrot Pox // Frailty,Bloodrot Pox Frailty,https://tcgplayer-cdn.tcgplayer.com/product/565624_200w.jpg,62,23558,https://cpt.tcgcsv.com/vgx6,2025-03-17T21:46:38.863,2,0.25,0.83,1.44,0.5,,Normal,Token,AAZ030 // AAZ031,Token,Generic,,,Aura,,,,1,"<em>""We are trumpeters of Their return, that even the deaf can hear Their footsteps drawing near.""-book of the raven, l'Apocalypta</em>"
565625,Bloodrot Pox // Inertia,Bloodrot Pox Inertia,https://tcgplayer-cdn.tcgplayer.com/product/565625_200w.jpg,62,23558,https://cpt.tcgcsv.com/wgx6,2025-03-17T21:35:50.083,2,1.0,1.04,1.25,0.8,,Normal,Token,AAZ030 // AAZ032,Token;Weapon,Generic;Ninja,,,Aura;Dagger (1H),,,,1,"<em>""We are trumpeters of Their return, that even the deaf can hear Their footsteps drawing near.""-book of the raven, l'Apocalypta</em>"
