productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardSubType,extClass,extCost,extPitchValue,extTalent,extPower,extDefenseValue,extIntellect,extLife
653236,Truth or Trickery,Truth or Trickery,https://tcgplayer-cdn.tcgplayer.com/product/653236_200w.jpg,62,24371,https://cpt.tcgcsv.com/Ljf7,2026-06-01T19:45:30.257,1,Super Rare,SUP077,0.2,0.86,29.99,0.58,,Rainbow Foil,,,,,,,,,,
653236,Truth or Trickery,Truth or Trickery,https://tcgplayer-cdn.tcgplayer.com/product/653236_200w.jpg,62,24371,https://cpt.tcgcsv.com/Ljf7,2026-06-01T19:45:30.257,1,Super Rare,SUP077,0.05,0.35,12.0,0.31,,Normal,,,,,,,,,,
653237,Leave Them Hanging,Leave Them Hanging,https://tcgplayer-cdn.tcgplayer.com/product/653237_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mjf7,2026-06-01T19:45:29.67,1,Majestic,SUP074,0.4,0.99,14.5,0.64,,Normal,,,,,,,,,,
653238,Leave Them Hanging (Extended Art),Leave Them Hanging Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/653238_200w.jpg,62,24371,https://cpt.tcgcsv.com/Njf7,2026-06-01T19:45:29.78,1,Majestic,SUP074,24.74,32.0,99.99,25.92,,Cold Foil,,,,,,,,,,
653291,Revolting Gesture,Revolting Gesture,https://tcgplayer-cdn.tcgplayer.com/product/653291_200w.jpg,62,24371,https://cpt.tcgcsv.com/Rkf7,2026-06-01T19:45:35.303,1,Common,SUP119,0.03,0.2,1.34,0.12,,Normal,,,,,,,,,,
653291,Revolting Gesture,Revolting Gesture,https://tcgplayer-cdn.tcgplayer.com/product/653291_200w.jpg,62,24371,https://cpt.tcgcsv.com/Rkf7,2026-06-01T19:45:35.303,1,Common,SUP119,0.15,0.38,4.99,0.35,,Rainbow Foil,,,,,,,,,,
653292,Gauntlets of Tyrannical Rex,Gauntlets of Tyrannical Rex,https://tcgplayer-cdn.tcgplayer.com/product/653292_200w.jpg,62,24371,https://cpt.tcgcsv.com/Skf7,2026-06-01T19:45:36.057,1,Legendary,SUP125,33.74,40.0,79.99,35.77,,Rainbow Foil,,,,,,,,,,
653292,Gauntlets of Tyrannical Rex,Gauntlets of Tyrannical Rex,https://tcgplayer-cdn.tcgplayer.com/product/653292_200w.jpg,62,24371,https://cpt.tcgcsv.com/Skf7,2026-06-01T19:45:36.057,1,Legendary,SUP125,44.99,54.33,149.99,52.64,,Cold Foil,,,,,,,,,,
653293,Reckless Stampede,Reckless Stampede,https://tcgplayer-cdn.tcgplayer.com/product/653293_200w.jpg,62,24371,https://cpt.tcgcsv.com/Tkf7,2026-06-01T19:45:36.34,1,Majestic,SUP127,0.62,2.5,99.0,0.68,,Normal,,,,,,,,,,
653293,Reckless Stampede,Reckless Stampede,https://tcgplayer-cdn.tcgplayer.com/product/653293_200w.jpg,62,24371,https://cpt.tcgcsv.com/Tkf7,2026-06-01T19:45:36.34,1,Majestic,SUP127,1.08,3.81,25.5,2.31,,Rainbow Foil,,,,,,,,,,
653294,Challenge the Alpha,Challenge the Alpha,https://tcgplayer-cdn.tcgplayer.com/product/653294_200w.jpg,62,24371,https://cpt.tcgcsv.com/Vkf7,2026-06-01T19:45:36.643,1,Super Rare,SUP129,0.09,0.5,12.0,0.5,,Normal,,,,,,,,,,
653294,Challenge the Alpha,Challenge the Alpha,https://tcgplayer-cdn.tcgplayer.com/product/653294_200w.jpg,62,24371,https://cpt.tcgcsv.com/Vkf7,2026-06-01T19:45:36.643,1,Super Rare,SUP129,0.2,0.68,19.99,0.75,,Rainbow Foil,,,,,,,,,,
653295,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/653295_200w.jpg,62,24371,https://cpt.tcgcsv.com/Wkf7,2026-06-01T19:45:29.16,1,Super Rare,SUP069,0.2,0.42,5.0,0.4,,Rainbow Foil,,,,,,,,,,
653295,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/653295_200w.jpg,62,24371,https://cpt.tcgcsv.com/Wkf7,2026-06-01T19:45:29.16,1,Super Rare,SUP069,0.05,0.27,12.0,0.24,,Normal,,,,,,,,,,
653296,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/653296_200w.jpg,62,24371,https://cpt.tcgcsv.com/Xkf7,2026-06-01T19:45:37.08,1,Super Rare,SUP132,0.41,1.1,49.99,1.0,,Rainbow Foil,,,,,,,,,,
653296,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/653296_200w.jpg,62,24371,https://cpt.tcgcsv.com/Xkf7,2026-06-01T19:45:37.08,1,Super Rare,SUP132,0.02,0.8,12.0,0.44,,Normal,,,,,,,,,,
653297,"Battered, Beaten, and Broken",Battered Beaten and Broken,https://tcgplayer-cdn.tcgplayer.com/product/653297_200w.jpg,62,24371,https://cpt.tcgcsv.com/Zkf7,2026-06-01T19:45:30.897,1,Super Rare,SUP083,0.75,1.11,12.0,0.94,,Normal,,,,,,,,,,
653297,"Battered, Beaten, and Broken",Battered Beaten and Broken,https://tcgplayer-cdn.tcgplayer.com/product/653297_200w.jpg,62,24371,https://cpt.tcgcsv.com/Zkf7,2026-06-01T19:45:30.897,1,Super Rare,SUP083,0.2,1.71,19.99,1.18,,Rainbow Foil,,,,,,,,,,
653298,Escalate Violence,Escalate Violence,https://tcgplayer-cdn.tcgplayer.com/product/653298_200w.jpg,62,24371,https://cpt.tcgcsv.com/-kf7,2026-06-01T19:45:30.99,1,Super Rare,SUP084,0.7,1.42,29.99,0.84,,Rainbow Foil,,,,,,,,,,
653298,Escalate Violence,Escalate Violence,https://tcgplayer-cdn.tcgplayer.com/product/653298_200w.jpg,62,24371,https://cpt.tcgcsv.com/-kf7,2026-06-01T19:45:30.99,1,Super Rare,SUP084,0.56,1.15,12.0,1.0,,Normal,,,,,,,,,,
653299,Concealed Object,Concealed Object,https://tcgplayer-cdn.tcgplayer.com/product/653299_200w.jpg,62,24371,https://cpt.tcgcsv.com/_kf7,2026-06-01T19:45:32.427,1,Rare,SUP097,0.04,0.25,1.99,0.24,,Normal,,,,,,,,,,
653299,Concealed Object,Concealed Object,https://tcgplayer-cdn.tcgplayer.com/product/653299_200w.jpg,62,24371,https://cpt.tcgcsv.com/_kf7,2026-06-01T19:45:32.427,1,Rare,SUP097,7.15,8.27,99.0,8.2,,Cold Foil,,,,,,,,,,
653300,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/653300_200w.jpg,62,24371,https://cpt.tcgcsv.com/0lf7,2026-06-01T19:45:34.11,1,Common,SUP110,0.1,0.25,4.99,0.2,,Rainbow Foil,,,,,,,,,,
