productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extCost,extPitchValue,extDefenseValue
517493,Firewall (Red),Firewall Red,https://tcgplayer-cdn.tcgplayer.com/product/517493_200w.jpg,62,23295,https://cpt.tcgcsv.com/T_86,2024-09-20T20:31:22.723,1,0.12,0.25,0.75,0.2,,Normal,Rare,TCC019,Block,,Mechanologist,,,,,1,4
517494,Bittering Thorns (Yellow),Bittering Thorns Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517494_200w.jpg,62,23295,https://cpt.tcgcsv.com/V_86,2023-09-29T04:03:14.773,1,0.2,0.4,0.69,0.31,,Normal,Common,TCC092,Action,Attack,Ninja,,,3,1,2,2
517495,Flex Claws (Yellow),Flex Claws Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517495_200w.jpg,62,23295,https://cpt.tcgcsv.com/W_86,2023-09-29T04:03:14.773,1,0.06,0.25,0.75,0.1,,Normal,Rare,TCC093,Action,Attack,Ninja,,,3,1,2,2
517496,Growl (Yellow),Growl Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517496_200w.jpg,62,23295,https://cpt.tcgcsv.com/X_86,2024-03-06T15:39:26.917,1,0.25,0.49,1.0,0.35,,Normal,Rare,TCC094,Action,Attack,Ninja,,,2,0,2,2
517497,Leg Tap (Yellow),Leg Tap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517497_200w.jpg,62,23295,https://cpt.tcgcsv.com/Z_86,2023-09-29T04:03:14.773,1,0.05,0.2,0.69,0.15,,Normal,Common,TCC095,Action,Attack,Ninja,,,3,1,2,2
517498,Salt the Wound (Yellow),Salt the Wound Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517498_200w.jpg,62,23295,https://cpt.tcgcsv.com/-_86,2025-03-17T21:41:27.093,1,0.5,0.7,2.8,1.02,,Normal,Common,TCC096,Action,Attack,Ninja,,,2,0,2,3
517499,Predatory Streak (Yellow),Predatory Streak Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517499_200w.jpg,62,23295,https://cpt.tcgcsv.com/__86,2023-09-29T04:03:14.773,1,0.05,0.2,0.69,0.12,,Normal,Common,TCC097,Action,,Ninja,,,,0,2,2
517503,Tiger Eye Reflex (Yellow),Tiger Eye Reflex Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517503_200w.jpg,62,23295,https://cpt.tcgcsv.com/5096,2024-09-20T20:33:42.593,1,3.29,3.53,10.0,3.36,,Normal,Rare,TCC098,Block,,Ninja,,,,,2,3
517506,Flying Kick (Blue),Flying Kick Blue,https://tcgplayer-cdn.tcgplayer.com/product/517506_200w.jpg,62,23295,https://cpt.tcgcsv.com/8096,2025-03-17T20:20:07.137,1,0.1,0.2,0.69,0.1,,Normal,Common,TCC099,Action,Attack,Ninja,,,3,2,3,3
517509,Blessing of Qi (Blue),Blessing of Qi Blue,https://tcgplayer-cdn.tcgplayer.com/product/517509_200w.jpg,62,23295,https://cpt.tcgcsv.com/c096,2023-09-29T04:03:14.773,1,0.05,0.25,0.75,,,Normal,Rare,TCC100,Action,Aura,Ninja,,,,1,3,3
517511,Predatory Streak (Blue),Predatory Streak Blue,https://tcgplayer-cdn.tcgplayer.com/product/517511_200w.jpg,62,23295,https://cpt.tcgcsv.com/f096,2023-09-29T04:03:14.773,1,0.05,0.2,0.69,,,Normal,Common,TCC101,Action,,Ninja,,,,0,3,2
517512,Tiger Eye Reflex (Blue),Tiger Eye Reflex Blue,https://tcgplayer-cdn.tcgplayer.com/product/517512_200w.jpg,62,23295,https://cpt.tcgcsv.com/g096,2023-09-29T04:03:14.773,1,0.25,0.49,1.2,0.34,,Normal,Rare,TCC102,Block,,Ninja,,,,,3,2
517568,Copper,Copper,https://tcgplayer-cdn.tcgplayer.com/product/517568_200w.jpg,62,23295,https://cpt.tcgcsv.com/n296,2025-03-17T21:47:35.88,1,0.14,0.25,0.69,0.2,,Normal,Common,TCC103,Token,Item,Generic,,,0,0,0,0
517570,Crouching Tiger,Crouching Tiger,https://tcgplayer-cdn.tcgplayer.com/product/517570_200w.jpg,62,23295,https://cpt.tcgcsv.com/q296,2023-09-29T04:03:14.773,1,0.16,0.25,0.69,0.33,,Normal,Token,TCC104,Action,Attack,Ninja,,,0,0,,
517572,Might (Blue),Might Blue,https://tcgplayer-cdn.tcgplayer.com/product/517572_200w.jpg,62,23295,https://cpt.tcgcsv.com/s296,2024-09-24T20:39:32.747,1,0.12,0.35,0.89,0.33,,Normal,Token,TCC105,Token,Aura,Generic,,,,,,
517575,Quicken,Quicken,https://tcgplayer-cdn.tcgplayer.com/product/517575_200w.jpg,62,23295,https://cpt.tcgcsv.com/w296,2023-09-29T04:03:14.773,1,0.1,0.39,1.29,1.5,,Normal,Token,TCC106,Token,Aura,Generic,,,,,,
517576,Vigor,Vigor,https://tcgplayer-cdn.tcgplayer.com/product/517576_200w.jpg,62,23295,https://cpt.tcgcsv.com/x296,2023-09-29T04:03:14.773,1,0.12,0.5,1.75,0.7,,Normal,Token,TCC107,Token,Aura,Generic,,,,,,
517577,5 Copper,5 Copper,https://tcgplayer-cdn.tcgplayer.com/product/517577_200w.jpg,62,23295,https://cpt.tcgcsv.com/z296,2025-03-17T21:47:43.813,1,0.2,0.21,0.5,0.2,,Normal,Common,TCC108,Token,Item,Generic,,,0,0,0,0
517580,Throttle (Yellow),Throttle Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517580_200w.jpg,62,23295,https://cpt.tcgcsv.com/D296,2023-09-29T04:03:14.773,1,0.1,0.25,0.69,0.18,,Normal,Common,TCC020,Action,Attack,Mechanologist,,,5,2,2,3
517582,Zipper Hit (Yellow),Zipper Hit Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517582_200w.jpg,62,23295,https://cpt.tcgcsv.com/G296,2023-09-29T04:03:14.773,1,0.12,0.29,1.25,0.21,,Normal,Common,TCC021,Action,Attack,Mechanologist,,,4,1,2,3
517583,Firewall (Yellow),Firewall Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517583_200w.jpg,62,23295,https://cpt.tcgcsv.com/H296,2024-12-11T21:22:34.103,1,0.14,0.24,0.75,0.19,,Normal,Rare,TCC022,Block,,Mechanologist,,,,,2,4
517585,Liquid-Cooled Mayhem (Blue),Liquid Cooled Mayhem Blue,https://tcgplayer-cdn.tcgplayer.com/product/517585_200w.jpg,62,23295,https://cpt.tcgcsv.com/K296,2025-03-03T20:03:48.057,1,0.15,0.25,0.75,0.22,,Normal,Rare,TCC023,Action,Attack,Mechanologist,,,4,4,3,3
517586,Mechanical Strength (Blue),Mechanical Strength Blue,https://tcgplayer-cdn.tcgplayer.com/product/517586_200w.jpg,62,23295,https://cpt.tcgcsv.com/L296,2023-09-29T04:03:14.773,1,0.1,0.21,0.69,0.2,,Normal,Rare,TCC024,Action,Attack,Mechanologist,,,3,3,3,3
517589,Throttle (Blue),Throttle Blue,https://tcgplayer-cdn.tcgplayer.com/product/517589_200w.jpg,62,23295,https://cpt.tcgcsv.com/P296,2023-09-29T04:03:14.773,1,0.33,0.96,1.99,0.68,,Normal,Common,TCC025,Action,Attack,Mechanologist,,,4,2,3,3
