productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extTalent
695840,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/695840_200w.jpg,62,24706,https://cpt.tcgcsv.com/QlB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY016,Instant,Aura,Guardian,,,3,4,1,,
695841,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/695841_200w.jpg,62,24706,https://cpt.tcgcsv.com/RlB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY017,Instant,Aura,Guardian,,,3,3,1,,
695842,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/695842_200w.jpg,62,24706,https://cpt.tcgcsv.com/SlB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY018,Instant,Aura,Guardian,,,3,2,1,,
695843,Oasis Respite (Red),Oasis Respite Red,https://tcgplayer-cdn.tcgplayer.com/product/695843_200w.jpg,62,24706,https://cpt.tcgcsv.com/TlB7,2026-06-05T04:10:28.543,1,1.75,1.78,1.8,1.0,,Normal,Common,SLY019,Instant,,Generic,,,,1,1,,
695844,Mocking Blow (Yellow),Mocking Blow Yellow,https://tcgplayer-cdn.tcgplayer.com/product/695844_200w.jpg,62,24706,https://cpt.tcgcsv.com/VlB7,2026-06-05T04:10:28.543,1,0.3,0.35,0.35,0.35,,Normal,Rare,SLY020,Action,Attack,,,,3,0,2,1,Reviled
695845,Short Shrift (Yellow),Short Shrift Yellow,https://tcgplayer-cdn.tcgplayer.com/product/695845_200w.jpg,62,24706,https://cpt.tcgcsv.com/WlB7,2026-06-05T04:10:28.543,1,0.02,0.25,0.25,0.25,,Normal,Common,SLY021,Action,Attack,Guardian,,,3,0,2,3,
695846,Walk in My Shoes (Yellow),Walk in My Shoes Yellow,https://tcgplayer-cdn.tcgplayer.com/product/695846_200w.jpg,62,24706,https://cpt.tcgcsv.com/XlB7,2026-06-05T04:10:28.543,1,0.25,0.33,0.35,,,Normal,Rare,SLY022,Action,Attack,Guardian,,,3,0,2,3,Reviled
695847,Wee Wrecking Ball (Yellow),Wee Wrecking Ball Yellow,https://tcgplayer-cdn.tcgplayer.com/product/695847_200w.jpg,62,24706,https://cpt.tcgcsv.com/ZlB7,2026-06-05T04:10:28.543,1,0.15,0.2,0.25,,,Normal,Common,SLY023,Action,Attack,Guardian,,,3,0,2,3,
695848,Brothers in Arms (Blue),Brothers in Arms Blue,https://tcgplayer-cdn.tcgplayer.com/product/695848_200w.jpg,62,24706,https://cpt.tcgcsv.com/-lB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY024,Action,Attack,Generic,,,2,2,3,4,
695849,Full of Bravado (Blue),Full of Bravado Blue,https://tcgplayer-cdn.tcgplayer.com/product/695849_200w.jpg,62,24706,https://cpt.tcgcsv.com/_lB7,2026-06-05T04:10:28.543,1,0.3,0.35,0.35,0.35,,Normal,Rare,SLY025,Action,Attack,Guardian,,,2,3,3,5,
695850,Goon Beatdown (Blue),Goon Beatdown Blue,https://tcgplayer-cdn.tcgplayer.com/product/695850_200w.jpg,62,24706,https://cpt.tcgcsv.com/0mB7,2026-06-05T04:10:28.543,1,0.15,0.2,0.25,,,Normal,Common,SLY026,Action,Attack,,,,3,0,3,1,Reviled
695851,Goon Tactics (Blue),Goon Tactics Blue,https://tcgplayer-cdn.tcgplayer.com/product/695851_200w.jpg,62,24706,https://cpt.tcgcsv.com/2mB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.25,,Normal,Common,SLY027,Action,Attack,,,,3,0,3,1,Reviled
695852,Mocking Blow (Blue),Mocking Blow Blue,https://tcgplayer-cdn.tcgplayer.com/product/695852_200w.jpg,62,24706,https://cpt.tcgcsv.com/3mB7,2026-06-05T04:10:28.543,1,0.25,0.33,0.35,0.3,,Normal,Rare,SLY028,Action,Attack,,,,3,0,3,1,Reviled
695853,Power Play (Blue),Power Play Blue,https://tcgplayer-cdn.tcgplayer.com/product/695853_200w.jpg,62,24706,https://cpt.tcgcsv.com/5mB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY029,Action,Attack,Guardian,,,3,3,3,1,
695854,Booze! (Blue),Booze Blue,https://tcgplayer-cdn.tcgplayer.com/product/695854_200w.jpg,62,24706,https://cpt.tcgcsv.com/6mB7,2026-06-05T04:10:28.543,1,0.15,0.2,0.25,,,Normal,Common,SLY030,Action,Aura,,,,3,0,3,,Reviled
695855,Concealed Object (Blue),Concealed Object Blue,https://tcgplayer-cdn.tcgplayer.com/product/695855_200w.jpg,62,24706,https://cpt.tcgcsv.com/7mB7,2026-06-05T04:10:28.543,1,0.25,0.25,0.35,0.25,,Normal,Rare,SLY031,Instant,Item,,,,,0,3,,Reviled
695856,Edge of Their Seats (Blue),Edge of Their Seats Blue,https://tcgplayer-cdn.tcgplayer.com/product/695856_200w.jpg,62,24706,https://cpt.tcgcsv.com/8mB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,,,Normal,Common,SLY032,Instant,Aura,Guardian,,,3,3,3,,
695857,The Suspense is Killing Me (Blue),The Suspense is Killing Me Blue,https://tcgplayer-cdn.tcgplayer.com/product/695857_200w.jpg,62,24706,https://cpt.tcgcsv.com/9mB7,2026-06-05T04:10:28.543,1,0.15,0.2,0.25,,,Normal,Common,SLY033,Instant,Aura,Guardian,,,2,0,3,,
695858,Confidence,Confidence,https://tcgplayer-cdn.tcgplayer.com/product/695858_200w.jpg,62,24706,https://cpt.tcgcsv.com/bmB7,2026-06-05T04:10:28.543,1,0.25,0.25,0.25,0.15,,Normal,Basic,SLY034,Token,Aura,Generic,,,,,,,
695859,Might,Might,https://tcgplayer-cdn.tcgplayer.com/product/695859_200w.jpg,62,24706,https://cpt.tcgcsv.com/cmB7,2026-06-05T04:10:28.543,1,0.35,0.35,0.35,0.35,,Normal,Basic,SLY035,Token,Aura,Generic,,,,,,,
695881,Briar,Briar,https://tcgplayer-cdn.tcgplayer.com/product/695881_200w.jpg,62,24706,https://cpt.tcgcsv.com/FmB7,2026-06-05T04:10:28.543,1,2.95,3.0,3.0,,,Normal,Rare,SBA001,Hero,Young,Runeblade,4,20,,,,,Elemental
695882,"Scorpio, Comet Tail",Scorpio Comet Tail,https://tcgplayer-cdn.tcgplayer.com/product/695882_200w.jpg,62,24706,https://cpt.tcgcsv.com/GmB7,2026-06-05T04:10:28.543,1,2.95,2.99,3.0,,,Normal,Common,SBA002,Weapon,Sword (2H),Runeblade,,,,,,1,
695883,Star Fall,Star Fall,https://tcgplayer-cdn.tcgplayer.com/product/695883_200w.jpg,62,24706,https://cpt.tcgcsv.com/HmB7,2026-06-05T04:10:28.543,1,3.45,3.75,5.0,,,Normal,Basic,SBA003,Weapon,Sword (2H),Runeblade,,,,,,1,
