productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extPower,extCost,extPitchValue,extFlavorText
237750,Monarch Blitz Deck - Chane,Monarch Blitz Deck Chane,https://tcgplayer-cdn.tcgplayer.com/product/237750_200w.jpg,62,2820,https://cpt.tcgcsv.com/07W2,2021-05-18T13:06:19.227,1,5.98,8.95,14.99,6.88,,Normal,,,,,,,,,,,,,
238423,Chane,Chane,https://tcgplayer-cdn.tcgplayer.com/product/238423_200w.jpg,62,2820,https://cpt.tcgcsv.com/tnW2,2025-03-10T17:50:27.003,1,0.24,0.35,14.99,0.25,,Unlimited Edition Rainbow Foil,Rare,CHN001,Hero,Young,Runeblade,Shadow,4,20,,,,,
238424,Lord Sutcliffe,Lord Sutcliffe,https://tcgplayer-cdn.tcgplayer.com/product/238424_200w.jpg,62,2820,https://cpt.tcgcsv.com/vnW2,2025-03-10T17:27:21.913,1,0.4,0.73,19.99,0.65,,Normal,Majestic,CHN002,Mentor,,Runeblade,,,,3,,,,
238425,Galaxxi Black,Galaxxi Black,https://tcgplayer-cdn.tcgplayer.com/product/238425_200w.jpg,62,2820,https://cpt.tcgcsv.com/wnW2,2025-03-10T17:50:36.817,1,0.1,0.3,1.99,0.2,,Normal,Rare,CHN003,Weapon,Sword (2H),Runeblade,Shadow,,,,1,,,
238426,Ebon Fold,Ebon Fold,https://tcgplayer-cdn.tcgplayer.com/product/238426_200w.jpg,62,2820,https://cpt.tcgcsv.com/xnW2,2025-03-10T18:04:22.25,1,0.1,0.3,1.92,0.13,,Normal,Common,CHN004,Equipment,Head,,Shadow,,,0,,,,
238427,Aether Ironweave,Aether Ironweave,https://tcgplayer-cdn.tcgplayer.com/product/238427_200w.jpg,62,2820,https://cpt.tcgcsv.com/znW2,2025-03-10T17:34:10.77,1,0.1,0.5,1.92,1.49,,Normal,Common,CHN005,Equipment,Chest,Runeblade,,,,1,,,,
238428,Spell Fray Gloves,Spell Fray Gloves,https://tcgplayer-cdn.tcgplayer.com/product/238428_200w.jpg,62,2820,https://cpt.tcgcsv.com/BnW2,2025-03-10T17:55:20.347,1,0.19,0.3,5.0,0.19,,Normal,Common,CHN006,Equipment,Arms,Generic,,,,0,,,,
238429,Snapdragon Scalers,Snapdragon Scalers,https://tcgplayer-cdn.tcgplayer.com/product/238429_200w.jpg,62,2820,https://cpt.tcgcsv.com/CnW2,2021-05-14T04:03:14.213,1,0.65,0.99,2.91,0.95,,Normal,Common,CHN007,Equipment,Legs,Generic,,,,0,,,,
238430,Soul Reaping,Soul Reaping,https://tcgplayer-cdn.tcgplayer.com/product/238430_200w.jpg,62,2820,https://cpt.tcgcsv.com/DnW2,2025-03-10T17:27:41.407,1,0.09,0.25,1.99,,,Normal,Rare,CHN008,Action,Attack,,Shadow,,,3,6,6,1,
238431,Bounding Demigon (Red),Bounding Demigon Red,https://tcgplayer-cdn.tcgplayer.com/product/238431_200w.jpg,62,2820,https://cpt.tcgcsv.com/FnW2,2025-03-10T17:34:21.617,1,0.1,0.25,1.69,0.15,,Normal,Common,CHN009,Action,Attack,Runeblade,Shadow,,,3,3,0,1,
238432,Piercing Shadow Vise (Red),Piercing Shadow Vise Red,https://tcgplayer-cdn.tcgplayer.com/product/238432_200w.jpg,62,2820,https://cpt.tcgcsv.com/GnW2,2025-03-10T18:04:44.043,1,0.04,0.25,1.75,0.05,,Normal,Common,CHN010,Action,Attack,Runeblade,Shadow,,,3,4,2,1,
