productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
614361,Armory Deck: Aurora,Armory Deck Aurora,https://tcgplayer-cdn.tcgplayer.com/product/614361_200w.jpg,62,24162,https://cpt.tcgcsv.com/fMW6,2025-03-14T04:10:23.363,1,48.0,50.0,52.99,48.38,,Normal,,,,,,,,,,,,,
620605,"Aurora, Shooting Star",Aurora Shooting Star,https://tcgplayer-cdn.tcgplayer.com/product/620605_200w.jpg,62,24162,https://cpt.tcgcsv.com/7g-6,2025-03-14T04:10:23.363,1,0.24,0.25,1.35,0.37,,Normal,Majestic,AST001,Hero,Runeblade,Elemental,4,40,,,,,,
620606,Star Fall,Star Fall,https://tcgplayer-cdn.tcgplayer.com/product/620606_200w.jpg,62,24162,https://cpt.tcgcsv.com/8g-6,2025-03-14T04:10:23.363,1,0.25,0.5,9.87,0.27,,Normal,Common,AST002,Weapon,Runeblade,Lightning,,,Sword (2H),1,,,,
620607,Cap of Quick Thinking,Cap of Quick Thinking,https://tcgplayer-cdn.tcgplayer.com/product/620607_200w.jpg,62,24162,https://cpt.tcgcsv.com/9g-6,2025-12-18T17:02:51.563,1,20.0,21.99,23.09,19.72,,Rainbow Foil,Majestic,AST003,Equipment,,Light,,,Head,,,,,
620608,Shock Frock,Shock Frock,https://tcgplayer-cdn.tcgplayer.com/product/620608_200w.jpg,62,24162,https://cpt.tcgcsv.com/bg-6,2025-03-14T04:10:23.363,1,0.99,1.95,4.99,2.62,,Rainbow Foil,Majestic,AST004,Equipment,,Lightning,,,Chest,,1,,,
620609,Zap Clappers,Zap Clappers,https://tcgplayer-cdn.tcgplayer.com/product/620609_200w.jpg,62,24162,https://cpt.tcgcsv.com/cg-6,2025-03-14T04:10:23.363,1,0.58,1.17,4.99,1.01,,Rainbow Foil,Majestic,AST005,Equipment,Runeblade,Lightning,,,Arrow Attack,,2,,,
620610,Starlight Striders,Starlight Striders,https://tcgplayer-cdn.tcgplayer.com/product/620610_200w.jpg,62,24162,https://cpt.tcgcsv.com/dg-6,2025-03-14T04:10:23.363,1,0.39,0.52,4.99,0.6,,Rainbow Foil,Majestic,AST006,Equipment,Runeblade,Lightning,,,Legs,,1,,,
620611,Arcanic Crackle (Red),Arcanic Crackle Red,https://tcgplayer-cdn.tcgplayer.com/product/620611_200w.jpg,62,24162,https://cpt.tcgcsv.com/fg-6,2025-03-14T04:10:23.363,1,0.05,0.15,1.0,0.11,,Normal,Common,AST007,Action,Runeblade,,,,Attack,3,3,0,1,
620632,Arcanic Shockwave (Red),Arcanic Shockwave Red,https://tcgplayer-cdn.tcgplayer.com/product/620632_200w.jpg,62,24162,https://cpt.tcgcsv.com/Gg-6,2025-03-14T04:10:23.363,1,0.1,0.2,22.0,0.2,,Normal,Common,AST008,Action,Runeblade,Elemental,,,Attack,4,3,0,1,"<em>After centuries of seclusion, the Rosetta have learned to harness Strale; the power that resonates throughout their beloved forest.</em>"
620634,Entwine Lightning (Red),Entwine Lightning Red,https://tcgplayer-cdn.tcgplayer.com/product/620634_200w.jpg,62,24162,https://cpt.tcgcsv.com/Jg-6,2025-03-14T04:10:23.363,1,0.1,0.25,0.75,0.17,,Normal,Common,AST009,Action,,Elemental,,,Attack,4,2,0,1,
620635,Flittering Charge (Red),Flittering Charge Red,https://tcgplayer-cdn.tcgplayer.com/product/620635_200w.jpg,62,24162,https://cpt.tcgcsv.com/Kg-6,2025-03-14T04:10:23.363,1,0.1,0.18,0.75,0.11,,Normal,Common,AST010,Action,,Lightning,,,Attack,4,2,0,1,
