productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extCardSubType,extPower,extDefenseValue,extFlavorText
653209,Jaws of Victory,Jaws of Victory,https://tcgplayer-cdn.tcgplayer.com/product/653209_200w.jpg,62,24371,https://cpt.tcgcsv.com/cjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP005,Action,Brute,Revered,,,0.09,0.35,7.49,0.28,,Normal,2,1,Attack,6,3,
653209,Jaws of Victory,Jaws of Victory,https://tcgplayer-cdn.tcgplayer.com/product/653209_200w.jpg,62,24371,https://cpt.tcgcsv.com/cjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP005,Action,Brute,Revered,,,0.25,0.99,29.99,0.74,,Rainbow Foil,2,1,Attack,6,3,
653211,Wind Up the Crowd,Wind Up the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/653211_200w.jpg,62,24371,https://cpt.tcgcsv.com/fjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP006,Action,Brute,Revered,,,0.38,0.75,10.0,0.61,,Rainbow Foil,3,3,Attack,6,0,
653211,Wind Up the Crowd,Wind Up the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/653211_200w.jpg,62,24371,https://cpt.tcgcsv.com/fjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP006,Action,Brute,Revered,,,0.19,0.59,3.99,0.5,,Normal,3,3,Attack,6,0,
653212,No Hero Stands Alone,No Hero Stands Alone,https://tcgplayer-cdn.tcgplayer.com/product/653212_200w.jpg,62,24371,https://cpt.tcgcsv.com/gjf7,2025-09-26T04:11:04.067,1,Majestic,SUP020,Action,,Revered,,,0.9,1.87,29.99,1.47,,Rainbow Foil,3,2,Attack,6,0,
653212,No Hero Stands Alone,No Hero Stands Alone,https://tcgplayer-cdn.tcgplayer.com/product/653212_200w.jpg,62,24371,https://cpt.tcgcsv.com/gjf7,2025-09-26T04:11:04.067,1,Majestic,SUP020,Action,,Revered,,,0.25,1.0,11.22,0.56,,Normal,3,2,Attack,6,0,
653213,Escalate Order,Escalate Order,https://tcgplayer-cdn.tcgplayer.com/product/653213_200w.jpg,62,24371,https://cpt.tcgcsv.com/hjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP022,Action,,Revered,,,0.61,1.48,29.99,0.97,,Rainbow Foil,2,1,Attack,6,3,
653213,Escalate Order,Escalate Order,https://tcgplayer-cdn.tcgplayer.com/product/653213_200w.jpg,62,24371,https://cpt.tcgcsv.com/hjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP022,Action,,Revered,,,0.5,1.15,3.99,0.95,,Normal,2,1,Attack,6,3,
653215,Will of the Crowd,Will of the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/653215_200w.jpg,62,24371,https://cpt.tcgcsv.com/kjf7,2025-09-26T04:11:04.067,1,Rare,SUP035,Block,,Revered,,,0.01,0.23,1.99,0.17,,Normal,,3,,,2,"<em>At Super Slam, even the lowliest fighter can be lifted to greatness by the rousing chants of the teeming crowds.</em>"
653215,Will of the Crowd,Will of the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/653215_200w.jpg,62,24371,https://cpt.tcgcsv.com/kjf7,2025-09-26T04:11:04.067,1,Rare,SUP035,Block,,Revered,,,0.23,0.3,9.99,0.3,,Rainbow Foil,,3,,,2,"<em>At Super Slam, even the lowliest fighter can be lifted to greatness by the rousing chants of the teeming crowds.</em>"
653221,Big Bully,Big Bully,https://tcgplayer-cdn.tcgplayer.com/product/653221_200w.jpg,62,24371,https://cpt.tcgcsv.com/rjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP067,Action,Brute,Reviled,,,0.09,0.5,12.0,0.51,,Normal,2,1,Attack,4,3,
653221,Big Bully,Big Bully,https://tcgplayer-cdn.tcgplayer.com/product/653221_200w.jpg,62,24371,https://cpt.tcgcsv.com/rjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP067,Action,Brute,Reviled,,,0.4,1.83,21.66,0.82,,Rainbow Foil,2,1,Attack,4,3,
653232,Visit the Boneyard,Visit the Boneyard,https://tcgplayer-cdn.tcgplayer.com/product/653232_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gjf7,2025-09-26T04:11:04.067,1,Rare,SUP139,Instant,Brute,,,,0.21,0.49,9.99,0.49,,Rainbow Foil,0,3,,,,
653232,Visit the Boneyard,Visit the Boneyard,https://tcgplayer-cdn.tcgplayer.com/product/653232_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gjf7,2025-09-26T04:11:04.067,1,Rare,SUP139,Instant,Brute,,,,0.09,0.25,1.99,0.2,,Normal,0,3,,,,
653233,Song of Sinew,Song of Sinew,https://tcgplayer-cdn.tcgplayer.com/product/653233_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP134,Action,Brute,,,,0.6,1.05,15.99,0.92,,Normal,0,2,,,2,
