productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
549268,Assault and Battery (Blue),Assault and Battery Blue,https://tcgplayer-cdn.tcgplayer.com/product/549268_200w.jpg,62,23506,https://cpt.tcgcsv.com/nKp6,2024-05-03T04:03:24.273,1,0.1,0.16,0.35,0.1,,Normal,Common,AKO018,Action,Brute,,,Attack,5,3,3,3,
549269,Battlefront Bastion,Battlefront Bastion,https://tcgplayer-cdn.tcgplayer.com/product/549269_200w.jpg,62,23506,https://cpt.tcgcsv.com/pKp6,2024-05-03T04:03:24.273,1,0.3,0.31,0.37,0.3,,Normal,Common,AKO019,Action,Generic,,,Attack,5,2,3,3,
549270,Mighty Windup (Blue),Mighty Windup Blue,https://tcgplayer-cdn.tcgplayer.com/product/549270_200w.jpg,62,23506,https://cpt.tcgcsv.com/qKp6,2024-05-03T04:03:24.273,1,0.1,0.2,0.35,,,Normal,Common,AKO020,Action,Brute;Guardian,,,Attack,5,2,3,3,
549271,Pound Town (Blue),Pound Town Blue,https://tcgplayer-cdn.tcgplayer.com/product/549271_200w.jpg,62,23506,https://cpt.tcgcsv.com/rKp6,2024-05-03T04:03:24.273,1,0.1,0.25,0.35,0.1,,Normal,Common,AKO021,Action,Brute,,,Attack,5,3,3,3,
549272,Reincarnate (Blue),Reincarnate Blue,https://tcgplayer-cdn.tcgplayer.com/product/549272_200w.jpg,62,23506,https://cpt.tcgcsv.com/sKp6,2025-03-03T21:05:13.913,1,0.11,0.25,0.59,0.15,,Normal,Rare,AKO022,Action,Brute,,,Attack,5,3,3,3,
549273,Riled Up (Blue),Riled Up Blue,https://tcgplayer-cdn.tcgplayer.com/product/549273_200w.jpg,62,23506,https://cpt.tcgcsv.com/tKp6,2024-05-03T04:03:24.273,1,0.1,0.16,0.35,,,Normal,Common,AKO023,Action,Brute,,,Attack,5,3,3,3,"<em>When word of war reached the Rek'vas Bloodboars, they were struck with fear... fear of missing out!</em>"
549274,Run Roughshod,Run Roughshod,https://tcgplayer-cdn.tcgplayer.com/product/549274_200w.jpg,62,23506,https://cpt.tcgcsv.com/vKp6,2024-05-03T04:03:24.273,1,9.5,14.25,21.95,13.25,,Rainbow Foil,Rare,AKO024,Action,Brute,,,Attack,5,3,1,3,
549274,Run Roughshod,Run Roughshod,https://tcgplayer-cdn.tcgplayer.com/product/549274_200w.jpg,62,23506,https://cpt.tcgcsv.com/vKp6,2024-05-03T04:03:24.273,1,10.0,13.97,21.99,12.6,,Normal,Rare,AKO024,Action,Brute,,,Attack,5,3,1,3,
549275,Smash Instinct (Blue),Smash Instinct Blue,https://tcgplayer-cdn.tcgplayer.com/product/549275_200w.jpg,62,23506,https://cpt.tcgcsv.com/wKp6,2024-05-03T04:03:24.273,1,0.11,0.16,0.35,0.15,,Normal,Common,AKO025,Action,Brute,,,Attack,5,3,3,3,<em>Following one's instinct may be ill advised.</em>
549276,Wrecker Romp (Blue),Wrecker Romp Blue,https://tcgplayer-cdn.tcgplayer.com/product/549276_200w.jpg,62,23506,https://cpt.tcgcsv.com/xKp6,2024-05-03T04:03:24.273,1,0.11,0.25,0.49,0.24,,Normal,Common,AKO026,Action,Brute,,,Attack,6,3,2,3,<em>The savage rule of the jungle; only the strong survive.</em>
549277,Agility,Agility,https://tcgplayer-cdn.tcgplayer.com/product/549277_200w.jpg,62,23506,https://cpt.tcgcsv.com/zKp6,2024-05-03T04:03:24.273,1,2.5,3.13,3.13,2.59,,Normal,Token,AKO027,Token,Generic,,,Aura,,,,,
549278,Might,Might,https://tcgplayer-cdn.tcgplayer.com/product/549278_200w.jpg,62,23506,https://cpt.tcgcsv.com/BKp6,2024-05-03T04:03:24.273,1,2.99,2.99,3.29,2.99,,Normal,Token,AKO028,Token,Generic,,,Aura,,,,,
