productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extCost,extPitchValue,extPower,extDefenseValue,extIntellect,extLife
641715,Armory Deck: Pleiades,Armory Deck Pleiades,https://tcgplayer-cdn.tcgplayer.com/product/641715_200w.jpg,62,24375,https://cpt.tcgcsv.com/kJ87,2025-09-19T04:10:10.91,1,39.9,46.0,69.0,42.7,,Normal,,,,,,,,,,,,
645199,Standing Ovation,Standing Ovation,https://tcgplayer-cdn.tcgplayer.com/product/645199_200w.jpg,62,24375,https://cpt.tcgcsv.com/_5b7,2025-10-09T15:14:38.257,1,2.9,3.94,1337.0,4.94,,Normal,Majestic,APS019,Action,Attack,Guardian,Revered,6,3,8,3,,
653801,"Pleiades, Superstar",Pleiades Superstar,https://tcgplayer-cdn.tcgplayer.com/product/653801_200w.jpg,62,24375,https://cpt.tcgcsv.com/2xf7,2025-09-19T04:10:10.91,1,4.89,6.12,23.58,,,Normal,Majestic,APS001,Hero,,Guardian,Revered,,,,,4,40
653802,Pleiades,Pleiades,https://tcgplayer-cdn.tcgplayer.com/product/653802_200w.jpg,62,24375,https://cpt.tcgcsv.com/3xf7,2025-09-19T04:10:10.91,1,0.78,0.86,215.51,0.99,,Normal,Rare,APS002,Hero,Young,Guardian,Revered,,,,,4,20
653803,Moment Maker,Moment Maker,https://tcgplayer-cdn.tcgplayer.com/product/653803_200w.jpg,62,24375,https://cpt.tcgcsv.com/5xf7,2025-09-19T04:10:10.91,1,10.0,13.0,1337.0,13.48,,Rainbow Foil,Majestic,APS003,Weapon,Hammer (2H);Axe (2H),Guardian,Revered,,,4,,,
653804,Tiara of Suspense,Tiara of Suspense,https://tcgplayer-cdn.tcgplayer.com/product/653804_200w.jpg,62,24375,https://cpt.tcgcsv.com/6xf7,2025-09-19T04:10:10.91,1,4.93,6.05,30.0,7.99,,Rainbow Foil,Majestic,APS004,Equipment,Head,Guardian,Revered,,,,2,,
653805,Virtuoso Bodice,Virtuoso Bodice,https://tcgplayer-cdn.tcgplayer.com/product/653805_200w.jpg,62,24375,https://cpt.tcgcsv.com/7xf7,2025-09-19T04:10:10.91,1,7.56,9.12,25.0,,,Rainbow Foil,Majestic,APS005,Equipment,Chest,Guardian,,,,,2,,
653806,Attention Grabbers,Attention Grabbers,https://tcgplayer-cdn.tcgplayer.com/product/653806_200w.jpg,62,24375,https://cpt.tcgcsv.com/8xf7,2025-09-19T04:10:10.91,1,12.37,16.0,24.51,15.07,,Rainbow Foil,Majestic,APS006,Equipment,Arms,Guardian,,,,,1,,
653807,Boots to the Boards,Boots to the Boards,https://tcgplayer-cdn.tcgplayer.com/product/653807_200w.jpg,62,24375,https://cpt.tcgcsv.com/9xf7,2025-09-19T04:10:10.91,1,17.99,18.82,28.84,17.95,,Rainbow Foil,Majestic,APS007,Equipment,Legs,,Revered,,,,2,,
653808,Boulder Drop (Red),Boulder Drop Red,https://tcgplayer-cdn.tcgplayer.com/product/653808_200w.jpg,62,24375,https://cpt.tcgcsv.com/bxf7,2025-09-19T04:10:10.91,1,11.67,12.01,19.27,11.99,,Normal,Rare,APS008,Action,Attack,Guardian,,3,1,7,3,,
653809,Fault Line,Fault Line,https://tcgplayer-cdn.tcgplayer.com/product/653809_200w.jpg,62,24375,https://cpt.tcgcsv.com/cxf7,2025-09-19T04:10:10.91,1,0.79,1.03,1.32,0.39,,Normal,Rare,APS009,Defense Reaction,Attack,Guardian,,3,1,7,3,,
653810,Spinal Crush,Spinal Crush,https://tcgplayer-cdn.tcgplayer.com/product/653810_200w.jpg,62,24375,https://cpt.tcgcsv.com/dxf7,2025-10-09T15:11:05.407,1,3.67,7.48,11.29,7.03,,Normal,Majestic,APS010,Action,Attack,Guardian,,5,1,9,3,,
653811,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/653811_200w.jpg,62,24375,https://cpt.tcgcsv.com/fxf7,2025-09-19T04:10:10.91,1,0.24,0.54,9.88,,,Normal,Common,APS011,Instant,Aura,Guardian,,4,1,,3,,
653812,Act of Glory (Blue),Act of Glory Blue,https://tcgplayer-cdn.tcgplayer.com/product/653812_200w.jpg,62,24375,https://cpt.tcgcsv.com/gxf7,2025-09-19T04:10:10.91,1,0.79,0.84,1.37,,,Normal,Common,APS022,Instant,Aura,Guardian,,4,3,,3,,
653813,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/653813_200w.jpg,62,24375,https://cpt.tcgcsv.com/hxf7,2025-09-19T04:10:10.91,1,0.24,0.27,0.69,,,Normal,Common,APS012,Instant,Aura,Guardian,,3,1,,3,,
