productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber
696210,Flourish (Yellow),Flourish Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696210_200w.jpg,62,24720,https://cpt.tcgcsv.com/dvB7,2026-06-02T16:13:58.033,1,Promo,GEM169
696211,Beckoning Brilliance (Red),Beckoning Brilliance Red,https://tcgplayer-cdn.tcgplayer.com/product/696211_200w.jpg,62,24720,https://cpt.tcgcsv.com/fvB7,2026-06-02T16:13:58.16,1,Promo,GEM170
696212,Electrolyze (Red),Electrolyze Red,https://tcgplayer-cdn.tcgplayer.com/product/696212_200w.jpg,62,24720,https://cpt.tcgcsv.com/gvB7,2026-06-02T16:13:58.27,1,Promo,GEM171
696213,Flowshard Elemental (Red),Flowshard Elemental Red,https://tcgplayer-cdn.tcgplayer.com/product/696213_200w.jpg,62,24720,https://cpt.tcgcsv.com/hvB7,2026-06-02T16:13:58.393,1,Promo,GEM172
696214,Flittering Forcefield (Red),Flittering Forcefield Red,https://tcgplayer-cdn.tcgplayer.com/product/696214_200w.jpg,62,24720,https://cpt.tcgcsv.com/jvB7,2026-06-02T16:13:58.49,1,Promo,GEM173
696215,Starlight Road (Blue),Starlight Road Blue,https://tcgplayer-cdn.tcgplayer.com/product/696215_200w.jpg,62,24720,https://cpt.tcgcsv.com/kvB7,2026-06-02T16:13:58.597,1,Promo,GEM174
696216,Conflicting Thoughts (Red),Conflicting Thoughts Red,https://tcgplayer-cdn.tcgplayer.com/product/696216_200w.jpg,62,24720,https://cpt.tcgcsv.com/lvB7,2026-06-02T16:13:58.723,1,Promo,GEM175
696217,Toughen Up (Blue),Toughen Up Blue,https://tcgplayer-cdn.tcgplayer.com/product/696217_200w.jpg,62,24720,https://cpt.tcgcsv.com/mvB7,2026-06-02T16:13:58.847,1,Promo,GEM176
696218,Runechant of Greed (Yellow),Runechant of Greed Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696218_200w.jpg,62,24720,https://cpt.tcgcsv.com/nvB7,2026-06-02T16:35:53.887,1,Promo,GEM177-RF
696219,Runechant of Envy (Yellow),Runechant of Envy Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696219_200w.jpg,62,24720,https://cpt.tcgcsv.com/pvB7,2026-06-02T16:35:22.773,1,Promo,GEM178-RF
696220,Runechant of Gluttony (Yellow),Runechant of Gluttony Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696220_200w.jpg,62,24720,https://cpt.tcgcsv.com/qvB7,2026-06-02T16:35:39.303,1,Promo,GEM179-RF
696221,Runechant of Lust (Yellow),Runechant of Lust Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696221_200w.jpg,62,24720,https://cpt.tcgcsv.com/rvB7,2026-06-02T16:36:07.82,1,Promo,GEM180-RF
696222,Runechant of Pride (Yellow),Runechant of Pride Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696222_200w.jpg,62,24720,https://cpt.tcgcsv.com/svB7,2026-06-02T16:36:20.417,1,Promo,GEM181-RF
696223,Runechant of Sloth (Yellow),Runechant of Sloth Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696223_200w.jpg,62,24720,https://cpt.tcgcsv.com/tvB7,2026-06-02T16:36:39.417,1,Promo,GEM182-RF
696224,Runechant of Wrath (Yellow),Runechant of Wrath Yellow,https://tcgplayer-cdn.tcgplayer.com/product/696224_200w.jpg,62,24720,https://cpt.tcgcsv.com/vvB7,2026-06-02T16:36:53.057,1,Promo,GEM183-RF
