productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
224718,Hero Decks: Welcome to Rathe - Katsu [1st Edition],Hero Decks Welcome to Rathe Katsu 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224718_200w.jpg,62,2730,https://cpt.tcgcsv.com/nVP2,2020-10-15T13:51:49.977,1,59.99,62.0,68.97,59.99,,Normal,,,,,,,,,,,,
225739,"Katsu, the Wanderer",Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225739_200w.jpg,62,2730,https://cpt.tcgcsv.com/PjQ2,2025-03-06T13:25:46.237,1,,,,,,,Common,KSU001,Hero,Ninja,4,40,,,,,,
225742,Katsu,Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225742_200w.jpg,62,2730,https://cpt.tcgcsv.com/SjQ2,2025-03-06T13:25:58.83,1,6.0,8.65,8.8,,,1st Edition Normal,Token,KSU002,Hero,Ninja,4,20,Young,,,,,
225746,Harmonized Kodachi,Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225746_200w.jpg,62,2730,https://cpt.tcgcsv.com/XjQ2,2025-03-06T13:35:01.493,1,5.25,5.25,5.25,2.88,,1st Edition Normal,Common,KSU003,Weapon,Ninja,,,Dagger (1H),1,,,,
225747,Harmonized Kodachi (Reverse),Harmonized Kodachi Reverse,https://tcgplayer-cdn.tcgplayer.com/product/225747_200w.jpg,62,2730,https://cpt.tcgcsv.com/ZjQ2,2025-03-20T18:14:42.703,1,4.75,4.75,4.75,5.75,,1st Edition Normal,Common,KSU004,Weapon,Ninja,,,Dagger (1H),1,,,,
225749,Ironrot Helm,Ironrot Helm,https://tcgplayer-cdn.tcgplayer.com/product/225749_200w.jpg,62,2730,https://cpt.tcgcsv.com/_jQ2,2025-03-06T14:22:11.57,1,0.73,1.87,5.0,,,1st Edition Normal,Common,KSU005,Equipment,Generic,,,Head,,1,,,
225751,Heartened Cross Strap,Heartened Cross Strap,https://tcgplayer-cdn.tcgplayer.com/product/225751_200w.jpg,62,2730,https://cpt.tcgcsv.com/2kQ2,2025-03-06T16:08:13.683,1,3.0,6.27,10.0,,,1st Edition Normal,Common,KSU006,Equipment,Generic,,,Chest,,0,,,
225754,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225754_200w.jpg,62,2730,https://cpt.tcgcsv.com/6kQ2,2025-03-06T16:09:39,1,2.99,7.76,9.74,,,1st Edition Normal,Common,KSU007,Equipment,Ninja,,,Legs,,1,,,
225756,Ironrot Legs,Ironrot Legs,https://tcgplayer-cdn.tcgplayer.com/product/225756_200w.jpg,62,2730,https://cpt.tcgcsv.com/8kQ2,2025-03-06T14:22:20.253,1,0.2,0.39,0.53,,,1st Edition Normal,Common,KSU008,Equipment,Generic,,,Legs,,1,,,
225760,Blackout Kick (Red),Blackout Kick Red,https://tcgplayer-cdn.tcgplayer.com/product/225760_200w.jpg,62,2730,https://cpt.tcgcsv.com/dkQ2,2025-03-06T13:30:57.033,1,0.15,1.86,2.07,1.86,,1st Edition Normal,Rare,KSU009,Action,Ninja,,,Attack,4,3,1,1,
225762,Energy Potion,Energy Potion,https://tcgplayer-cdn.tcgplayer.com/product/225762_200w.jpg,62,2730,https://cpt.tcgcsv.com/gkQ2,2025-03-06T13:30:41.22,1,1.39,1.49,3.5,1.5,,1st Edition Normal,Rare,KSU029,Action,Generic,,,Item,,,0,3,
225763,Flic Flak (Blue),Flic Flak Blue,https://tcgplayer-cdn.tcgplayer.com/product/225763_200w.jpg,62,2730,https://cpt.tcgcsv.com/hkQ2,2025-03-06T13:28:59.283,1,0.2,0.57,1.25,,,1st Edition Normal,Rare,KSU025,Defense Reaction,Ninja,,,,,2,0,3,
225764,Fluster Fist (Blue),Fluster Fist Blue,https://tcgplayer-cdn.tcgplayer.com/product/225764_200w.jpg,62,2730,https://cpt.tcgcsv.com/jkQ2,2025-03-06T13:28:45.23,1,0.3,0.62,0.94,0.99,,1st Edition Normal,Rare,KSU022,Action,Ninja,,,Attack,2,3,0,3,
225765,Fluster Fist (Red),Fluster Fist Red,https://tcgplayer-cdn.tcgplayer.com/product/225765_200w.jpg,62,2730,https://cpt.tcgcsv.com/kkQ2,2025-03-06T13:28:39.213,1,0.45,0.85,0.99,,,1st Edition Normal,Rare,KSU010,Action,Ninja,,,Attack,4,3,0,1,
225767,Head Jab (Blue),Head Jab Blue,https://tcgplayer-cdn.tcgplayer.com/product/225767_200w.jpg,62,2730,https://cpt.tcgcsv.com/mkQ2,2025-03-06T16:12:43.933,1,0.48,2.1,2.3,,,1st Edition Normal,Common,KSU023,Action,Ninja,,,Attack,1,2,0,3,
225769,Head Jab (Red),Head Jab Red,https://tcgplayer-cdn.tcgplayer.com/product/225769_200w.jpg,62,2730,https://cpt.tcgcsv.com/pkQ2,2025-03-06T16:13:02.99,1,0.3,1.47,2.2,1.55,,1st Edition Normal,Common,KSU011,Action,Ninja,,,Attack,3,2,0,1,
225770,Leg Tap (Red),Leg Tap Red,https://tcgplayer-cdn.tcgplayer.com/product/225770_200w.jpg,62,2730,https://cpt.tcgcsv.com/qkQ2,2025-03-06T16:13:10.92,1,0.4,0.98,1.0,0.38,,1st Edition Normal,Common,KSU012,Action,Ninja,,,Attack,4,2,1,1,
225771,Leg Tap (Yellow),Leg Tap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/225771_200w.jpg,62,2730,https://cpt.tcgcsv.com/rkQ2,2025-03-06T16:13:17.103,1,0.28,0.85,1.25,,,1st Edition Normal,Common,KSU018,Action,Ninja,,,Attack,3,2,1,2,
225773,Lunging Press,Lunging Press,https://tcgplayer-cdn.tcgplayer.com/product/225773_200w.jpg,62,2730,https://cpt.tcgcsv.com/tkQ2,2025-03-06T18:52:49.237,1,0.25,0.4,0.45,,,1st Edition Normal,Common,KSU028,Attack Reaction,Generic,,,,,2,0,3,
225774,Open the Center (Red),Open the Center Red,https://tcgplayer-cdn.tcgplayer.com/product/225774_200w.jpg,62,2730,https://cpt.tcgcsv.com/vkQ2,2025-03-06T18:55:43.58,1,0.3,0.68,1.05,,,1st Edition Normal,Common,KSU013,Action,Ninja,,,Attack,5,3,2,1,
225775,Rising Knee Thrust (Red),Rising Knee Thrust Red,https://tcgplayer-cdn.tcgplayer.com/product/225775_200w.jpg,62,2730,https://cpt.tcgcsv.com/wkQ2,2025-03-06T18:56:08.38,1,0.15,1.51,1.78,,,1st Edition Normal,Common,KSU014,Action,Ninja,,,Attack,3,3,0,1,
225776,Rising Knee Thrust (Yellow),Rising Knee Thrust Yellow,https://tcgplayer-cdn.tcgplayer.com/product/225776_200w.jpg,62,2730,https://cpt.tcgcsv.com/xkQ2,2025-03-06T21:05:26.74,1,0.15,1.5,2.3,,,1st Edition Normal,Common,KSU019,Action,Ninja,,,Attack,2,3,0,2,
225777,Scar for a Scar (Red),Scar for a Scar Red,https://tcgplayer-cdn.tcgplayer.com/product/225777_200w.jpg,62,2730,https://cpt.tcgcsv.com/zkQ2,2025-03-06T21:14:05.007,1,0.3,1.99,3.25,,,1st Edition Normal,Common,KSU017,Action,Generic,,,Attack,4,2,0,1,
225779,Scour the Battlescape (Blue),Scour the Battlescape Blue,https://tcgplayer-cdn.tcgplayer.com/product/225779_200w.jpg,62,2730,https://cpt.tcgcsv.com/CkQ2,2025-03-06T21:14:38.16,1,0.38,1.1,1.91,,,1st Edition Normal,Common,KSU026,Action,Generic,,,Attack,1,2,0,3,
