productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extPower,extCardSubType,extDefenseValue,extCost,extPitchValue,extIntellect,extLife
622768,Armory Deck: Maxx Nitro,Armory Deck Maxx Nitro,https://tcgplayer-cdn.tcgplayer.com/product/622768_200w.jpg,62,24253,https://cpt.tcgcsv.com/n7_6,2025-04-29T18:34:28.603,1,46.92,50.0,69.99,46.97,,Normal,,,,,,,,,,,
622769,Armory Deck: Maxx Nitro Case,Armory Deck Maxx Nitro Case,https://tcgplayer-cdn.tcgplayer.com/product/622769_200w.jpg,62,24253,https://cpt.tcgcsv.com/p7_6,2025-04-29T18:35:20.897,1,,,,,,,,,,,,,,,,,
628092,Banksy,Banksy,https://tcgplayer-cdn.tcgplayer.com/product/628092_200w.jpg,62,24253,https://cpt.tcgcsv.com/Sf27,2025-04-29T19:45:25.52,1,0.11,0.15,0.25,0.13,,Normal,Token,AMX002,Weapon,Mechanologist,3,,,,,,
628093,Breaker Helm Protos,Breaker Helm Protos,https://tcgplayer-cdn.tcgplayer.com/product/628093_200w.jpg,62,24253,https://cpt.tcgcsv.com/Tf27,2025-04-17T04:10:15.477,1,4.91,5.89,14.59,4.68,,Rainbow Foil,Majestic,AMX003,Equipment,Mechanologist,,Head;Base,1,,,,
628095,Drive Brake,Drive Brake,https://tcgplayer-cdn.tcgplayer.com/product/628095_200w.jpg,62,24253,https://cpt.tcgcsv.com/Wf27,2025-04-17T04:10:15.477,1,0.84,2.23,7.98,1.96,,Rainbow Foil,Majestic,AMX006,Equipment,Mechanologist,,Legs,1,,,,
628096,Fist Pump,Fist Pump,https://tcgplayer-cdn.tcgplayer.com/product/628096_200w.jpg,62,24253,https://cpt.tcgcsv.com/Xf27,2025-04-17T04:10:15.477,1,0.84,2.15,7.98,1.82,,Rainbow Foil,Majestic,AMX005,Equipment,Mechanologist,,Arms,1,,,,
628097,Puffer Jacket,Puffer Jacket,https://tcgplayer-cdn.tcgplayer.com/product/628097_200w.jpg,62,24253,https://cpt.tcgcsv.com/Zf27,2025-04-17T04:10:15.477,1,2.91,4.5,12.77,3.15,,Rainbow Foil,Majestic,AMX004,Equipment,Mechanologist,,Chest,2,,,,
628098,Twintek Charging Station,Twintek Charging Station,https://tcgplayer-cdn.tcgplayer.com/product/628098_200w.jpg,62,24253,https://cpt.tcgcsv.com/-f27,2025-04-28T19:38:53.68,1,1.47,3.26,7.98,3.26,,Normal,Rare,AMX018,Action,Mechanologist,,,2,0,1,,
628098,Twintek Charging Station,Twintek Charging Station,https://tcgplayer-cdn.tcgplayer.com/product/628098_200w.jpg,62,24253,https://cpt.tcgcsv.com/-f27,2025-04-28T19:38:53.68,1,5.13,5.37,8.69,5.13,,Rainbow Foil,Rare,AMX018,Action,Mechanologist,,,2,0,1,,
628100,Construct Bank Breaker,Construct Bank Breaker,https://tcgplayer-cdn.tcgplayer.com/product/628100_200w.jpg,62,24253,https://cpt.tcgcsv.com/0g27,2025-04-17T04:10:15.477,1,1.99,3.0,10.26,2.52,,Normal,Majestic,AMX022,Action,Mechanologist,,,3,0,2,,
628102,Clamp Press,Clamp Press,https://tcgplayer-cdn.tcgplayer.com/product/628102_200w.jpg,62,24253,https://cpt.tcgcsv.com/3g27,2025-04-28T19:38:20.97,1,3.29,5.34,20.52,5.34,,Normal,Majestic,AMX026,Action,Mechanologist,,Item,,2,3,,
628102,Clamp Press,Clamp Press,https://tcgplayer-cdn.tcgplayer.com/product/628102_200w.jpg,62,24253,https://cpt.tcgcsv.com/3g27,2025-04-28T19:38:20.97,1,7.4,7.84,18.49,7.2,,Rainbow Foil,Majestic,AMX026,Action,Mechanologist,,Item,,2,3,,
