productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extPower,extIntellect,extLife,extPitchValue,extDefenseValue,extCost,extFlavorText
225096,Stonewall Confidence (Yellow),Stonewall Confidence Yellow,https://tcgplayer-cdn.tcgplayer.com/product/225096_200w.jpg,62,2726,https://cpt.tcgcsv.com/X2Q2,2020-11-05T21:34:03.817,1,1.99,3.94,9.95,1.99,,1st Edition Rainbow Foil,Common,WTR073,Action,Aura,Guardian,,,,2,3,2,
225096,Stonewall Confidence (Yellow),Stonewall Confidence Yellow,https://tcgplayer-cdn.tcgplayer.com/product/225096_200w.jpg,62,2726,https://cpt.tcgcsv.com/X2Q2,2020-11-05T21:34:03.817,1,0.2,0.4,1.49,,,1st Edition Normal,Common,WTR073,Action,Aura,Guardian,,,,2,3,2,
225096,Stonewall Confidence (Yellow),Stonewall Confidence Yellow,https://tcgplayer-cdn.tcgplayer.com/product/225096_200w.jpg,62,2726,https://cpt.tcgcsv.com/X2Q2,2020-11-05T21:34:03.817,1,0.03,0.25,9.95,0.25,,Unlimited Edition Rainbow Foil,Common,WTR073,Action,Aura,Guardian,,,,2,3,2,
225097,Stonewall Confidence (Blue),Stonewall Confidence Blue,https://tcgplayer-cdn.tcgplayer.com/product/225097_200w.jpg,62,2726,https://cpt.tcgcsv.com/Z2Q2,2020-11-05T21:33:40.327,1,2.99,5.0,26.69,3.2,,1st Edition Rainbow Foil,Common,WTR074,Action,Aura,Guardian,,,,3,3,2,
225097,Stonewall Confidence (Blue),Stonewall Confidence Blue,https://tcgplayer-cdn.tcgplayer.com/product/225097_200w.jpg,62,2726,https://cpt.tcgcsv.com/Z2Q2,2020-11-05T21:33:40.327,1,0.01,0.15,1.42,0.12,,Unlimited Edition Normal,Common,WTR074,Action,Aura,Guardian,,,,3,3,2,
225097,Stonewall Confidence (Blue),Stonewall Confidence Blue,https://tcgplayer-cdn.tcgplayer.com/product/225097_200w.jpg,62,2726,https://cpt.tcgcsv.com/Z2Q2,2020-11-05T21:33:40.327,1,0.2,0.41,6.47,0.37,,1st Edition Normal,Common,WTR074,Action,Aura,Guardian,,,,3,3,2,
225097,Stonewall Confidence (Blue),Stonewall Confidence Blue,https://tcgplayer-cdn.tcgplayer.com/product/225097_200w.jpg,62,2726,https://cpt.tcgcsv.com/Z2Q2,2020-11-05T21:33:40.327,1,0.12,0.29,9.95,0.31,,Unlimited Edition Rainbow Foil,Common,WTR074,Action,Aura,Guardian,,,,3,3,2,
225098,Bravo // Harmonized Kodachi,Bravo Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225098_200w.jpg,62,2726,https://cpt.tcgcsv.com/-2Q2,2025-03-04T21:48:55.977,2,0.4,0.51,1.95,,,1st Edition Normal,Token,WTR039 // WTR078,Hero;Weapon,Dagger (1H);Young,Guardian;Ninja;Warrior,3,4,40,,,,
225098,Bravo // Harmonized Kodachi,Bravo Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225098_200w.jpg,62,2726,https://cpt.tcgcsv.com/-2Q2,2025-03-04T21:48:55.977,2,0.01,0.15,1.0,0.06,,Unlimited Edition Normal,Token,WTR039 // WTR078,Hero;Weapon,Dagger (1H);Young,Guardian;Ninja;Warrior,3,4,40,,,,
225099,Bravo // Katsu,Bravo Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225099_200w.jpg,62,2726,https://cpt.tcgcsv.com/_2Q2,2025-03-04T21:49:01.04,2,0.01,0.1,1.0,0.01,,Unlimited Edition Normal,Token,WTR039 // WTR077,Hero,Young,Guardian;Ninja;Warrior,,4,20,,,,
225099,Bravo // Katsu,Bravo Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225099_200w.jpg,62,2726,https://cpt.tcgcsv.com/_2Q2,2025-03-04T21:49:01.04,2,0.2,1.26,1.95,,,1st Edition Normal,Token,WTR039 // WTR077,Hero,Young,Guardian;Ninja;Warrior,,4,20,,,,
225100,"Bravo // Katsu, the Wanderer",Bravo Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225100_200w.jpg,62,2726,https://cpt.tcgcsv.com/03Q2,2025-03-04T21:49:06.417,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR039 // WTR076,Hero,Young,Guardian;Ninja;Warrior,,4,20 // 40,,,,
225100,"Bravo // Katsu, the Wanderer",Bravo Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225100_200w.jpg,62,2726,https://cpt.tcgcsv.com/03Q2,2025-03-04T21:49:06.417,2,0.25,0.53,0.81,,,Unlimited Edition Normal,Token,WTR039 // WTR076,Hero,Young,Guardian;Ninja;Warrior,,4,20 // 40,,,,
225101,Bravo // Quicken,Bravo Quicken,https://tcgplayer-cdn.tcgplayer.com/product/225101_200w.jpg,62,2726,https://cpt.tcgcsv.com/23Q2,2025-03-04T21:49:12.227,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR039 // WTR225,Hero;Token,Aura;Young,Generic;Guardian,,4,20,,,,
225102,Bravo // Rhinar,Bravo Rhinar,https://tcgplayer-cdn.tcgplayer.com/product/225102_200w.jpg,62,2726,https://cpt.tcgcsv.com/33Q2,2025-03-04T21:49:17.033,2,0.01,0.1,1.0,0.02,,Unlimited Edition Normal,Token,WTR039 // WTR002,Hero,Young,Brute;Guardian,,4,20,,,,
225102,Bravo // Rhinar,Bravo Rhinar,https://tcgplayer-cdn.tcgplayer.com/product/225102_200w.jpg,62,2726,https://cpt.tcgcsv.com/33Q2,2025-03-04T21:49:17.033,2,1.1,1.21,1.95,,,1st Edition Normal,Token,WTR039 // WTR002,Hero,Young,Brute;Guardian,,4,20,,,,
225103,"Bravo // Rhinar, Reckless Rampage",Bravo Rhinar Reckless Rampage,https://tcgplayer-cdn.tcgplayer.com/product/225103_200w.jpg,62,2726,https://cpt.tcgcsv.com/53Q2,2025-03-04T21:49:21.867,2,1.33,1.63,1.93,,,Unlimited Edition Normal,Token,WTR039 // WTR001,Hero,Young,Brute;Guardian,,4,20 // 40,,,,
225103,"Bravo // Rhinar, Reckless Rampage",Bravo Rhinar Reckless Rampage,https://tcgplayer-cdn.tcgplayer.com/product/225103_200w.jpg,62,2726,https://cpt.tcgcsv.com/53Q2,2025-03-04T21:49:21.867,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR039 // WTR001,Hero,Young,Brute;Guardian,,4,20 // 40,,,,
225104,Bravo // Romping Club,Bravo Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/225104_200w.jpg,62,2726,https://cpt.tcgcsv.com/63Q2,2025-03-04T21:49:26.767,2,0.01,0.1,0.56,0.01,,Unlimited Edition Normal,Token,WTR039 // WTR003,Hero;Weapon,Club (2H);Young,Brute;Guardian,4,4,20,,,,
225104,Bravo // Romping Club,Bravo Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/225104_200w.jpg,62,2726,https://cpt.tcgcsv.com/63Q2,2025-03-04T21:49:26.767,2,0.11,0.2,1.0,,,1st Edition Normal,Token,WTR039 // WTR003,Hero;Weapon,Club (2H);Young,Brute;Guardian,4,4,20,,,,
225105,Bravo // Seismic Surge,Bravo Seismic Surge,https://tcgplayer-cdn.tcgplayer.com/product/225105_200w.jpg,62,2726,https://cpt.tcgcsv.com/73Q2,2025-03-04T21:49:31.703,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR039 // WTR075,Hero;Token,Aura;Young,Brute;Guardian,,4,20,,,,
225106,"Bravo, Showstopper // Dawnblade",Bravo Showstopper Dawnblade,https://tcgplayer-cdn.tcgplayer.com/product/225106_200w.jpg,62,2726,https://cpt.tcgcsv.com/83Q2,2025-03-04T21:50:34.9,2,0.05,0.25,1.03,0.09,,Unlimited Edition Normal,Token,WTR038 // WTR115,Hero;Weapon,Sword (2H),Guardian;Warrior,3,4,40,,,,
225106,"Bravo, Showstopper // Dawnblade",Bravo Showstopper Dawnblade,https://tcgplayer-cdn.tcgplayer.com/product/225106_200w.jpg,62,2726,https://cpt.tcgcsv.com/83Q2,2025-03-04T21:50:34.9,2,0.11,0.95,3.25,0.2,,1st Edition Normal,Token,WTR038 // WTR115,Hero;Weapon,Sword (2H),Guardian;Warrior,3,4,40,,,,
225107,"Bravo, Showstopper // Dorinthea",Bravo Showstopper Dorinthea,https://tcgplayer-cdn.tcgplayer.com/product/225107_200w.jpg,62,2726,https://cpt.tcgcsv.com/93Q2,2025-03-04T21:50:21.16,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR114,Hero,Young,Guardian;Warrior,,4,20 // 40,,,,
225108,"Bravo, Showstopper // Dorinthea Ironsong",Bravo Showstopper Dorinthea Ironsong,https://tcgplayer-cdn.tcgplayer.com/product/225108_200w.jpg,62,2726,https://cpt.tcgcsv.com/b3Q2,2025-03-05T18:00:09.273,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR113,Hero,,Guardian;Warrior,,4,40,,,,
225109,"Bravo, Showstopper // Harmonized Kodachi",Bravo Showstopper Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225109_200w.jpg,62,2726,https://cpt.tcgcsv.com/c3Q2,2025-03-05T18:00:14.023,2,0.25,0.25,0.25,,,Unlimited Edition Normal,Token,WTR038 // WTR078,Hero;Weapon,Dagger (1H),Guardian;Ninja;Warrior,3,4,40,,,,
225109,"Bravo, Showstopper // Harmonized Kodachi",Bravo Showstopper Harmonized Kodachi,https://tcgplayer-cdn.tcgplayer.com/product/225109_200w.jpg,62,2726,https://cpt.tcgcsv.com/c3Q2,2025-03-05T18:00:14.023,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR078,Hero;Weapon,Dagger (1H),Guardian;Ninja;Warrior,3,4,40,,,,
225110,Mask of Momentum,Mask of Momentum,https://tcgplayer-cdn.tcgplayer.com/product/225110_200w.jpg,62,2726,https://cpt.tcgcsv.com/d3Q2,2020-11-05T20:46:19.667,1,1150.0,1194.0,1195.0,,,1st Edition Cold Foil,Legendary,WTR079,Equipment,Head,Ninja,,,,,2,,
225110,Mask of Momentum,Mask of Momentum,https://tcgplayer-cdn.tcgplayer.com/product/225110_200w.jpg,62,2726,https://cpt.tcgcsv.com/d3Q2,2020-11-05T20:46:19.667,1,55.69,96.0,129.99,66.05,,Unlimited Edition Rainbow Foil,Legendary,WTR079,Equipment,Head,Ninja,,,,,2,,
225111,"Bravo, Showstopper // Katsu",Bravo Showstopper Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225111_200w.jpg,62,2726,https://cpt.tcgcsv.com/f3Q2,2025-03-05T18:00:19.15,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR077,Hero;Weapon,Young,Guardian;Ninja;Warrior,,4,20 // 40,,,,
225111,"Bravo, Showstopper // Katsu",Bravo Showstopper Katsu,https://tcgplayer-cdn.tcgplayer.com/product/225111_200w.jpg,62,2726,https://cpt.tcgcsv.com/f3Q2,2025-03-05T18:00:19.15,2,0.25,0.25,0.25,,,Unlimited Edition Normal,Token,WTR038 // WTR077,Hero;Weapon,Young,Guardian;Ninja;Warrior,,4,20 // 40,,,,
225112,"Bravo, Showstopper // Katsu, the Wanderer",Bravo Showstopper Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225112_200w.jpg,62,2726,https://cpt.tcgcsv.com/g3Q2,2025-03-05T18:00:23.487,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR076,Hero;Weapon,,Guardian;Ninja;Warrior,,4,40,,,,
225112,"Bravo, Showstopper // Katsu, the Wanderer",Bravo Showstopper Katsu the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/225112_200w.jpg,62,2726,https://cpt.tcgcsv.com/g3Q2,2025-03-05T18:00:23.487,2,0.25,0.25,0.25,,,Unlimited Edition Normal,Token,WTR038 // WTR076,Hero;Weapon,,Guardian;Ninja;Warrior,,4,40,,,,
225113,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225113_200w.jpg,62,2726,https://cpt.tcgcsv.com/h3Q2,2020-11-05T21:02:37.557,1,90.0,94.99,350.0,94.99,,1st Edition Cold Foil,Common,WTR080,Equipment,Arms,Ninja,,,,,1,,
225113,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225113_200w.jpg,62,2726,https://cpt.tcgcsv.com/h3Q2,2020-11-05T21:02:37.557,1,0.25,0.4,1.49,0.35,,1st Edition Normal,Common,WTR080,Equipment,Arms,Ninja,,,,,1,,
225113,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225113_200w.jpg,62,2726,https://cpt.tcgcsv.com/h3Q2,2020-11-05T21:02:37.557,1,0.01,0.18,1.43,0.14,,Unlimited Edition Normal,Common,WTR080,Equipment,Arms,Ninja,,,,,1,,
225113,Breaking Scales,Breaking Scales,https://tcgplayer-cdn.tcgplayer.com/product/225113_200w.jpg,62,2726,https://cpt.tcgcsv.com/h3Q2,2020-11-05T21:02:37.557,1,0.24,0.46,9.95,0.39,,Unlimited Edition Rainbow Foil,Common,WTR080,Equipment,Arms,Ninja,,,,,1,,
225114,"Bravo, Showstopper // Quicken",Bravo Showstopper Quicken,https://tcgplayer-cdn.tcgplayer.com/product/225114_200w.jpg,62,2726,https://cpt.tcgcsv.com/j3Q2,2025-03-05T18:00:28.23,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR038 // WTR225,Hero;Token,Aura,Generic;Guardian,,4,40,,,,
