productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extTalent,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText
612609,Searing Gaze (Red),Searing Gaze Red,https://tcgplayer-cdn.tcgplayer.com/product/612609_200w.jpg,62,23815,https://cpt.tcgcsv.com/c3W6,2025-01-31T05:10:13.37,1,0.2,0.37,5.0,0.37,,Rainbow Foil,Common,HNT111,Attack Reaction,Warrior,,,,Draconic,0,1,2,,
612610,Sisters of Fire (Red),Sisters of Fire Red,https://tcgplayer-cdn.tcgplayer.com/product/612610_200w.jpg,62,23815,https://cpt.tcgcsv.com/d3W6,2025-01-31T05:10:13.37,1,0.04,0.16,1.43,0.09,,Normal,Common,HNT112,Attack Reaction,Warrior,,,,Draconic,0,1,3,,
612610,Sisters of Fire (Red),Sisters of Fire Red,https://tcgplayer-cdn.tcgplayer.com/product/612610_200w.jpg,62,23815,https://cpt.tcgcsv.com/d3W6,2025-01-31T05:10:13.37,1,0.15,0.3,1.0,0.27,,Rainbow Foil,Common,HNT112,Attack Reaction,Warrior,,,,Draconic,0,1,3,,
612611,Sizzling Steel (Red),Sizzling Steel Red,https://tcgplayer-cdn.tcgplayer.com/product/612611_200w.jpg,62,23815,https://cpt.tcgcsv.com/f3W6,2025-01-31T05:10:13.37,1,0.13,0.33,1.15,0.33,,Rainbow Foil,Common,HNT113,Attack Reaction,Warrior,,,,Draconic,1,1,2,,
612611,Sizzling Steel (Red),Sizzling Steel Red,https://tcgplayer-cdn.tcgplayer.com/product/612611_200w.jpg,62,23815,https://cpt.tcgcsv.com/f3W6,2025-01-31T05:10:13.37,1,0.01,0.16,1.39,0.07,,Normal,Common,HNT113,Attack Reaction,Warrior,,,,Draconic,1,1,2,,
612612,Stabbing Pain (Red),Stabbing Pain Red,https://tcgplayer-cdn.tcgplayer.com/product/612612_200w.jpg,62,23815,https://cpt.tcgcsv.com/g3W6,2025-01-31T05:10:13.37,1,0.07,0.4,4.68,,,Rainbow Foil,Common,HNT114,Attack Reaction,Warrior,,,,Draconic,1,1,2,,
612612,Stabbing Pain (Red),Stabbing Pain Red,https://tcgplayer-cdn.tcgplayer.com/product/612612_200w.jpg,62,23815,https://cpt.tcgcsv.com/g3W6,2025-01-31T05:10:13.37,1,0.05,0.2,1.46,0.11,,Normal,Common,HNT114,Attack Reaction,Warrior,,,,Draconic,1,1,2,,
612613,Diced (Red),Diced Red,https://tcgplayer-cdn.tcgplayer.com/product/612613_200w.jpg,62,23815,https://cpt.tcgcsv.com/h3W6,2025-01-31T05:10:13.37,1,0.04,0.5,5.0,0.3,,Rainbow Foil,Rare,HNT119,Attack Reaction,Warrior,,,,,0,1,2,,
612613,Diced (Red),Diced Red,https://tcgplayer-cdn.tcgplayer.com/product/612613_200w.jpg,62,23815,https://cpt.tcgcsv.com/h3W6,2025-01-31T05:10:13.37,1,0.04,0.25,1.99,0.17,,Normal,Rare,HNT119,Attack Reaction,Warrior,,,,,0,1,2,,
612614,Diced (Yellow),Diced Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612614_200w.jpg,62,23815,https://cpt.tcgcsv.com/j3W6,2025-01-31T05:10:13.37,1,0.05,0.31,5.0,0.15,,Rainbow Foil,Rare,HNT120,Attack Reaction,Warrior,,,,,0,2,2,,
612614,Diced (Yellow),Diced Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612614_200w.jpg,62,23815,https://cpt.tcgcsv.com/j3W6,2025-01-31T05:10:13.37,1,0.03,0.25,1.47,0.19,,Normal,Rare,HNT120,Attack Reaction,Warrior,,,,,0,2,2,,
612615,Diced (Blue),Diced Blue,https://tcgplayer-cdn.tcgplayer.com/product/612615_200w.jpg,62,23815,https://cpt.tcgcsv.com/k3W6,2025-01-31T05:10:13.37,1,0.04,0.25,1.42,0.09,,Normal,Rare,HNT121,Attack Reaction,Warrior,,,,,0,3,2,,
612615,Diced (Blue),Diced Blue,https://tcgplayer-cdn.tcgplayer.com/product/612615_200w.jpg,62,23815,https://cpt.tcgcsv.com/k3W6,2025-01-31T05:10:13.37,1,0.04,0.32,5.11,0.14,,Rainbow Foil,Rare,HNT121,Attack Reaction,Warrior,,,,,0,3,2,,
612616,Twist and Turn (Red),Twist and Turn Red,https://tcgplayer-cdn.tcgplayer.com/product/612616_200w.jpg,62,23815,https://cpt.tcgcsv.com/l3W6,2025-01-31T05:10:13.37,1,0.08,0.25,1.48,0.17,,Normal,Rare,HNT122,Action,Warrior,,,,,0,1,3,,
612616,Twist and Turn (Red),Twist and Turn Red,https://tcgplayer-cdn.tcgplayer.com/product/612616_200w.jpg,62,23815,https://cpt.tcgcsv.com/l3W6,2025-01-31T05:10:13.37,1,0.2,0.48,1.63,0.41,,Rainbow Foil,Rare,HNT122,Action,Warrior,,,,,0,1,3,,
612617,Twist and Turn (Yellow),Twist and Turn Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612617_200w.jpg,62,23815,https://cpt.tcgcsv.com/m3W6,2025-01-31T05:10:13.37,1,0.2,0.48,1.48,0.38,,Rainbow Foil,Rare,HNT123,Action,Warrior,,,,,0,2,3,,
612617,Twist and Turn (Yellow),Twist and Turn Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612617_200w.jpg,62,23815,https://cpt.tcgcsv.com/m3W6,2025-01-31T05:10:13.37,1,0.1,0.25,1.53,0.23,,Normal,Rare,HNT123,Action,Warrior,,,,,0,2,3,,
612618,Twist and Turn (Blue),Twist and Turn Blue,https://tcgplayer-cdn.tcgplayer.com/product/612618_200w.jpg,62,23815,https://cpt.tcgcsv.com/n3W6,2025-01-31T05:10:13.37,1,0.2,0.45,1.0,0.33,,Rainbow Foil,Rare,HNT124,Action,Warrior,,,,,0,3,3,,
