productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
248244,Tales of Aria Blitz Deck - Oldhim,Tales of Aria Blitz Deck Oldhim,https://tcgplayer-cdn.tcgplayer.com/product/248244_200w.jpg,62,3017,https://cpt.tcgcsv.com/Vj_2,2022-01-24T15:17:12.367,1,5.99,12.85,19.15,11.77,,Normal,,,,,,,,,,,,,
262423,Oldhim,Oldhim,https://tcgplayer-cdn.tcgplayer.com/product/262423_200w.jpg,62,3017,https://cpt.tcgcsv.com/t-63,2025-03-12T20:49:25.433,1,0.25,0.99,5.0,0.62,,Rainbow Foil,Rare,OLD001,Hero,Young,Guardian,Elemental,4,20,,,,,
262424,Titan's Fist,Titans Fist,https://tcgplayer-cdn.tcgplayer.com/product/262424_200w.jpg,62,3017,https://cpt.tcgcsv.com/v-63,2025-03-12T20:52:52.72,1,6.4,6.4,6.4,6.32,,Normal,Common,OLD002,Weapon,Hammer (1H),Guardian,,,,3,,,,
262425,Rotten Old Buckler,Rotten Old Buckler,https://tcgplayer-cdn.tcgplayer.com/product/262425_200w.jpg,62,3017,https://cpt.tcgcsv.com/w-63,2025-03-12T21:20:02.027,1,0.1,0.15,1.12,,,Normal,Common,OLD003,Equipment,,Guardian,,,,,1,,,
262426,Helm of Isen's Peak,Helm of Isens Peak,https://tcgplayer-cdn.tcgplayer.com/product/262426_200w.jpg,62,3017,https://cpt.tcgcsv.com/x-63,2025-03-12T21:23:19.51,1,0.5,1.1,1.82,,,Normal,Common,OLD004,Equipment,Head,Guardian,,,,,1,,,
262427,Coat of Frost,Coat of Frost,https://tcgplayer-cdn.tcgplayer.com/product/262427_200w.jpg,62,3017,https://cpt.tcgcsv.com/z-63,2025-03-12T21:25:54.293,1,0.3,0.4,1.92,,,Normal,Common,OLD005,Equipment,Chest,,Ice,,,,0,,,
262428,Goliath Gauntlet,Goliath Gauntlet,https://tcgplayer-cdn.tcgplayer.com/product/262428_200w.jpg,62,3017,https://cpt.tcgcsv.com/B-63,2022-02-01T22:32:43.66,1,0.5,0.64,4.97,0.64,,Normal,Common,OLD006,Equipment,Arms,Generic,,,,,0,,,
262446,Ironhide Legs,Ironhide Legs,https://tcgplayer-cdn.tcgplayer.com/product/262446_200w.jpg,62,3017,https://cpt.tcgcsv.com/X-63,2025-03-12T21:29:59.463,1,0.5,0.59,5.18,,,Normal,Common,OLD007,Equipment,Legs,Generic,,,,,0,,,
262447,Glacial Footsteps (Red),Glacial Footsteps Red,https://tcgplayer-cdn.tcgplayer.com/product/262447_200w.jpg,62,3017,https://cpt.tcgcsv.com/Z-63,2025-03-12T21:09:50.597,1,0.15,0.25,1.21,0.25,,Normal,Common,OLD008,Action,Attack,Guardian,Elemental,,,10,3,6,1,
262449,Snow Under (Red),Snow Under Red,https://tcgplayer-cdn.tcgplayer.com/product/262449_200w.jpg,62,3017,https://cpt.tcgcsv.com/_-63,2025-03-12T21:09:59.623,1,0.15,0.18,1.21,0.15,,Normal,Common,OLD009,Action,Attack,Guardian,Elemental,,,7,3,3,1,"<em>He stood, unyielding, as their blood turn to ice.</em>"
262452,Glacial Footsteps (Blue),Glacial Footsteps Blue,https://tcgplayer-cdn.tcgplayer.com/product/262452_200w.jpg,62,3017,https://cpt.tcgcsv.com/3_63,2025-03-12T21:10:09.607,1,0.22,0.27,5.27,0.24,,Normal,Common,OLD010,Action,Attack,Guardian,Elemental,,,8,3,6,3,
262453,Snow Under (Blue),Snow Under Blue,https://tcgplayer-cdn.tcgplayer.com/product/262453_200w.jpg,62,3017,https://cpt.tcgcsv.com/5_63,2025-03-12T21:10:20.93,1,0.1,0.2,2.09,,,Normal,Common,OLD011,Action,Attack,Guardian,Elemental,,,5,3,3,3,"<em>He stood, unyielding, as their blood turn to ice.</em>"
262454,Biting Gale (Yellow),Biting Gale Yellow,https://tcgplayer-cdn.tcgplayer.com/product/262454_200w.jpg,62,3017,https://cpt.tcgcsv.com/6_63,2025-03-12T21:10:29.357,1,0.25,0.35,5.72,,,Normal,Rare,OLD012,Defense Reaction,,Guardian,Elemental,,,,3,2,2,"<em>""Better to fight and fall than to live without hope."" - Valgard Hoarfrost</em>"
262455,Frost Fang (Red),Frost Fang Red,https://tcgplayer-cdn.tcgplayer.com/product/262455_200w.jpg,62,3017,https://cpt.tcgcsv.com/7_63,2025-03-12T21:12:21.403,1,0.7,0.7,0.7,0.71,,Normal,Rare,OLD013,Action,Attack,,Ice,,,5,2,2,1,
262456,Weave Ice (Red),Weave Ice Red,https://tcgplayer-cdn.tcgplayer.com/product/262456_200w.jpg,62,3017,https://cpt.tcgcsv.com/8_63,2025-03-12T21:31:39.64,1,0.43,0.47,0.99,0.43,,Normal,Rare,OLD014,Action,,,Ice,,,,2,0,1,
262457,Polar Blast (Yellow),Polar Blast Yellow,https://tcgplayer-cdn.tcgplayer.com/product/262457_200w.jpg,62,3017,https://cpt.tcgcsv.com/9_63,2025-03-03T23:09:12.95,1,0.09,0.15,1.11,,,Normal,Common,OLD015,Action,,,Ice,,,0,2,2,2,
262460,Winter's Bite (Yellow),Winters Bite Yellow,https://tcgplayer-cdn.tcgplayer.com/product/262460_200w.jpg,62,3017,https://cpt.tcgcsv.com/d_63,2025-03-03T23:09:28.253,1,0.2,0.25,1.23,0.18,,Normal,Common,OLD016,Action,,,Ice,,,0,2,0,2,
262461,Winter's Grasp (Blue),Winters Grasp Blue,https://tcgplayer-cdn.tcgplayer.com/product/262461_200w.jpg,62,3017,https://cpt.tcgcsv.com/f_63,2025-03-03T23:09:37.32,1,0.2,0.25,5.43,0.31,,Normal,Common,OLD017,Action,Attack,,Ice,,,4,3,2,3,"<em>The hand of winter grasps the land, laying life to rest.</em>"
262462,Amulet of Ice,Amulet of Ice,https://tcgplayer-cdn.tcgplayer.com/product/262462_200w.jpg,62,3017,https://cpt.tcgcsv.com/g_63,2025-03-12T21:19:22.403,1,0.15,0.25,5.68,0.15,,Normal,Common,OLD018,Action,Item,,Ice,,,0,0,0,3,
262464,Turn Timber (Red),Turn Timber Red,https://tcgplayer-cdn.tcgplayer.com/product/262464_200w.jpg,62,3017,https://cpt.tcgcsv.com/j_63,2025-03-12T21:31:45.49,1,0.13,0.25,1.92,0.17,,Normal,Rare,OLD019,Defense Reaction,,Guardian,Elemental,,,,6,2,1,"<em>The ancient Guardians embody the elements of Aria, drawing upon the land itself.</em>"
262468,Strength of Sequoia (Red),Strength of Sequoia Red,https://tcgplayer-cdn.tcgplayer.com/product/262468_200w.jpg,62,3017,https://cpt.tcgcsv.com/n_63,2025-03-12T21:19:13.433,1,0.15,0.18,1.17,,,Normal,Common,OLD020,Action,Aura,Guardian,Elemental,,,,3,2,1,
262469,Entangle (Blue),Entangle Blue,https://tcgplayer-cdn.tcgplayer.com/product/262469_200w.jpg,62,3017,https://cpt.tcgcsv.com/p_63,2025-03-12T21:34:51.45,1,0.21,0.6,1.97,,,Normal,Common,OLD021,Action,Attack,Guardian,Elemental,,,5,3,3,3,
262471,Mulch (Blue),Mulch Blue,https://tcgplayer-cdn.tcgplayer.com/product/262471_200w.jpg,62,3017,https://cpt.tcgcsv.com/r_63,2025-03-12T20:41:21.567,1,0.15,0.2,1.21,0.12,,Normal,Common,OLD022,Action,Attack,Guardian,Elemental,,,6,3,4,3,
262472,Strength of Sequoia (Blue),Strength of Sequoia Blue,https://tcgplayer-cdn.tcgplayer.com/product/262472_200w.jpg,62,3017,https://cpt.tcgcsv.com/s_63,2025-03-12T21:18:47.153,1,0.15,0.2,1.21,,,Normal,Common,OLD023,Action,Aura,Guardian,Elemental,,,,3,2,3,
262473,Autumn's Touch (Blue),Autumns Touch Blue,https://tcgplayer-cdn.tcgplayer.com/product/262473_200w.jpg,62,3017,https://cpt.tcgcsv.com/t_63,2025-03-12T21:22:46.12,1,0.15,0.2,1.23,,,Normal,Common,OLD024,Action,Attack,,Earth,,,5,3,3,3,
262475,Break Ground (Blue),Break Ground Blue,https://tcgplayer-cdn.tcgplayer.com/product/262475_200w.jpg,62,3017,https://cpt.tcgcsv.com/w_63,2025-03-12T21:39:02.957,1,0.25,1.15,1.27,,,Normal,Common,OLD025,Action,Attack,,Earth,,,5,2,3,3,
262480,Evergreen (Blue),Evergreen Blue,https://tcgplayer-cdn.tcgplayer.com/product/262480_200w.jpg,62,3017,https://cpt.tcgcsv.com/D_63,2025-03-12T21:12:42.87,1,0.27,0.46,1.76,0.46,,Normal,Rare,OLD026,Action,Attack,,Earth,,,5,2,3,3,
262481,Earthlore Surge (Blue),Earthlore Surge Blue,https://tcgplayer-cdn.tcgplayer.com/product/262481_200w.jpg,62,3017,https://cpt.tcgcsv.com/F_63,2025-03-12T21:40:25.76,1,0.25,0.43,1.94,,,Normal,Common,OLD027,Action,,,Earth,,,,2,2,3,
262482,Thump (Red),Thump Red,https://tcgplayer-cdn.tcgplayer.com/product/262482_200w.jpg,62,3017,https://cpt.tcgcsv.com/G_63,2025-03-12T21:12:51.633,1,0.49,0.53,0.53,0.53,,Normal,Common,OLD028,Action,Attack,Guardian,,,,6,3,4,1,
262483,Thump (Blue),Thump Blue,https://tcgplayer-cdn.tcgplayer.com/product/262483_200w.jpg,62,3017,https://cpt.tcgcsv.com/H_63,2025-03-12T21:12:58.967,1,0.2,0.8,1.67,0.8,,Normal,Common,OLD029,Action,Attack,Guardian,,,,4,3,4,3,
262484,Embolden (Red),Embolden Red,https://tcgplayer-cdn.tcgplayer.com/product/262484_200w.jpg,62,3017,https://cpt.tcgcsv.com/J_63,2025-03-12T21:26:09.08,1,0.5,0.6,1.16,,,Normal,Rare,OLD030,Action,Aura,Guardian,,,,0,3,4,1,
262485,Frostbite // Seismic Surge,Frostbite Seismic Surge,https://tcgplayer-cdn.tcgplayer.com/product/262485_200w.jpg,62,3017,https://cpt.tcgcsv.com/K_63,2025-03-12T21:45:49.2,1,0.26,5.13,9.99,,,Normal,Token,OLD031 // OLD032,Token,Aura,,Elemental,,,0,0,0,0,
