productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
561903,Lightning Surge (Yellow),Lightning Surge Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561903_200w.jpg,62,23548,https://cpt.tcgcsv.com/5Nv6,2024-08-23T04:08:14.833,1,0.05,0.2,2.49,,,Normal,Common,AUR018,Action,Attack,,Lightning,,,3,2,0,2
561904,Static Shock (Yellow),Static Shock Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561904_200w.jpg,62,23548,https://cpt.tcgcsv.com/6Nv6,2024-08-23T04:08:14.833,1,0.12,0.25,0.88,0.15,,Normal,Rare,AUR019,Action,Attack,Runeblade,Elemental,,,3,3,0,2
561905,Harness Lightning (Yellow),Harness Lightning Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561905_200w.jpg,62,23548,https://cpt.tcgcsv.com/7Nv6,2024-08-23T04:08:14.833,1,0.05,0.25,2.49,0.17,,Normal,Rare,AUR020,Action,,Runeblade,Elemental,,,,2,0,2
561906,Sizzle (Yellow),Sizzle Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561906_200w.jpg,62,23548,https://cpt.tcgcsv.com/8Nv6,2024-08-23T04:08:14.833,1,0.15,0.25,2.49,0.23,,Normal,Common,AUR021,Action,,,Lightning,,,,2,0,2
561907,Spark Spray (Yellow),Spark Spray Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561907_200w.jpg,62,23548,https://cpt.tcgcsv.com/9Nv6,2024-08-23T04:08:14.833,1,0.15,0.25,2.49,0.15,,Normal,Common,AUR022,Action,Attack,,Lightning,,,3,2,0,2
561908,Cloud Cover,Cloud Cover,https://tcgplayer-cdn.tcgplayer.com/product/561908_200w.jpg,62,23548,https://cpt.tcgcsv.com/bNv6,2024-08-23T04:08:14.833,1,0.44,2.49,3.17,0.99,,Normal,Rare,AUR023,Instant,,,Lightning,,,,,0,2
561909,Photon Rush (Blue),Photon Rush Blue,https://tcgplayer-cdn.tcgplayer.com/product/561909_200w.jpg,62,23548,https://cpt.tcgcsv.com/cNv6,2024-08-23T04:08:14.833,1,0.1,0.25,2.49,0.17,,Normal,Common,AUR024,Action,Attack,Runeblade,Elemental,,,1,3,0,3
561910,Spark Spray (Blue),Spark Spray Blue,https://tcgplayer-cdn.tcgplayer.com/product/561910_200w.jpg,62,23548,https://cpt.tcgcsv.com/dNv6,2024-08-23T04:08:14.833,1,0.1,0.25,2.49,0.1,,Normal,Common,AUR025,Action,Attack,,Lightning,,,2,2,0,3
561911,Lightning Press,Lightning Press,https://tcgplayer-cdn.tcgplayer.com/product/561911_200w.jpg,62,23548,https://cpt.tcgcsv.com/fNv6,2024-08-23T04:08:14.833,1,0.05,0.25,2.49,0.17,,Normal,Rare,AUR026,Instant,,,Lightning,,,,,0,3
561912,Embodiment of Lightning,Embodiment of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/561912_200w.jpg,62,23548,https://cpt.tcgcsv.com/gNv6,2024-08-23T04:08:14.833,1,0.23,0.44,1.39,0.55,,Normal,Token,AUR027,Token,Aura,,Elemental,,,,,,
561913,Spell Fray Tiara (AUR),Spell Fray Tiara AUR,https://tcgplayer-cdn.tcgplayer.com/product/561913_200w.jpg,62,23548,https://cpt.tcgcsv.com/hNv6,2024-08-23T04:08:14.833,1,0.09,0.25,2.49,,,Normal,Rare,AUR028,Equipment,Head,Generic,,,,,0,,
561914,Spell Fray Leggings (AUR),Spell Fray Leggings AUR,https://tcgplayer-cdn.tcgplayer.com/product/561914_200w.jpg,62,23548,https://cpt.tcgcsv.com/jNv6,2024-08-23T04:08:14.833,1,0.3,0.36,2.49,0.48,,Normal,Rare,AUR029,Equipment,Legs,Generic,,,,,0,,
561915,Terra,Terra,https://tcgplayer-cdn.tcgplayer.com/product/561915_200w.jpg,62,23548,https://cpt.tcgcsv.com/kNv6,2024-08-23T04:08:14.833,1,0.24,0.55,6.48,0.41,,Normal,Rare,TER001,Hero,Young,Guardian,Elemental,4,20,,,,
561916,Redwood Hammer,Redwood Hammer,https://tcgplayer-cdn.tcgplayer.com/product/561916_200w.jpg,62,23548,https://cpt.tcgcsv.com/lNv6,2024-08-23T04:08:14.833,1,0.24,0.42,4.99,0.42,,Normal,Rare,TER002,Weapon,Hammer (1H),Guardian,Earth,,,3,,,
561917,Rotten Old Buckler,Rotten Old Buckler,https://tcgplayer-cdn.tcgplayer.com/product/561917_200w.jpg,62,23548,https://cpt.tcgcsv.com/mNv6,2024-08-23T04:08:14.833,1,0.04,0.2,2.49,,,Normal,Common,TER003,Equipment,Off-Hand,Guardian,,,,,1,,
561918,Ironrot Helm (TER),Ironrot Helm TER,https://tcgplayer-cdn.tcgplayer.com/product/561918_200w.jpg,62,23548,https://cpt.tcgcsv.com/nNv6,2024-08-23T04:08:14.833,1,0.01,0.15,2.49,,,Normal,Common,TER004,Equipment,Head,Generic,,,,,1,,
561919,Blossom of Spring (TER),Blossom of Spring TER,https://tcgplayer-cdn.tcgplayer.com/product/561919_200w.jpg,62,23548,https://cpt.tcgcsv.com/pNv6,2024-08-23T04:08:14.833,1,1.25,1.59,2.56,1.35,,Normal,Common,TER005,Equipment,Chest,Generic,,,,,0,,
561920,Hard Knuckle,Hard Knuckle,https://tcgplayer-cdn.tcgplayer.com/product/561920_200w.jpg,62,23548,https://cpt.tcgcsv.com/qNv6,2024-08-23T04:08:14.833,1,0.24,0.25,4.99,0.24,,Normal,Common,TER006,Equipment,Arms,Generic,,,,,0,,
561921,Ironrot Legs (TER),Ironrot Legs TER,https://tcgplayer-cdn.tcgplayer.com/product/561921_200w.jpg,62,23548,https://cpt.tcgcsv.com/rNv6,2024-08-23T04:08:14.833,1,0.01,0.15,2.49,,,Normal,Common,TER007,Equipment,Legs,Generic,,,,,1,,
561922,Bracken Rap (Red),Bracken Rap Red,https://tcgplayer-cdn.tcgplayer.com/product/561922_200w.jpg,62,23548,https://cpt.tcgcsv.com/sNv6,2024-08-23T04:08:14.833,1,0.19,0.25,3.99,0.21,,Normal,Common,TER008,Action,Attack,Guardian,Elemental,,,6,3,3,1
