productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extPower,extCost,extPitchValue
237756,Monarch Blitz Deck - Boltyn,Monarch Blitz Deck Boltyn,https://tcgplayer-cdn.tcgplayer.com/product/237756_200w.jpg,62,2819,https://cpt.tcgcsv.com/87W2,2021-05-18T13:06:06.427,1,4.0,6.97,29.98,6.53,,Normal,,,,,,,,,,,,
238371,Boltyn,Boltyn,https://tcgplayer-cdn.tcgplayer.com/product/238371_200w.jpg,62,2819,https://cpt.tcgcsv.com/rmW2,2025-03-10T17:49:19.967,1,0.15,0.5,14.99,0.57,,Unlimited Edition Rainbow Foil,Rare,BOL001,Hero,Young,Warrior,Light,4,20,,,,
238372,Minerva Themis,Minerva Themis,https://tcgplayer-cdn.tcgplayer.com/product/238372_200w.jpg,62,2819,https://cpt.tcgcsv.com/smW2,2025-03-10T17:52:17.18,1,0.25,0.5,19.99,0.42,,Normal,Majestic,BOL002,Mentor,,Warrior,,,,3,,,
238373,Hatchet of Body,Hatchet of Body,https://tcgplayer-cdn.tcgplayer.com/product/238373_200w.jpg,62,2819,https://cpt.tcgcsv.com/tmW2,2025-03-10T17:54:01.097,1,1.48,1.54,1.99,1.58,,Normal,Common,BOL003,Weapon,,Warrior,,,,,2,,
238375,Hatchet of Mind,Hatchet of Mind,https://tcgplayer-cdn.tcgplayer.com/product/238375_200w.jpg,62,2819,https://cpt.tcgcsv.com/wmW2,2025-03-10T17:54:05.137,1,1.32,1.6,1.99,1.61,,Normal,Common,BOL004,Weapon,,Warrior,,,,,2,,
238378,Halo of Illumination,Halo of Illumination,https://tcgplayer-cdn.tcgplayer.com/product/238378_200w.jpg,62,2819,https://cpt.tcgcsv.com/BmW2,2025-03-10T17:25:01,1,0.12,0.19,1.99,0.15,,Normal,Common,BOL005,Equipment,Head,,Light,,,0,,,
238382,Spell Fray Cloak,Spell Fray Cloak,https://tcgplayer-cdn.tcgplayer.com/product/238382_200w.jpg,62,2819,https://cpt.tcgcsv.com/GmW2,2025-03-10T17:32:36.073,1,0.21,0.33,5.0,0.49,,Normal,Common,BOL006,Equipment,Chest,Generic,,,,0,,,
238386,Gallantry Gold,Gallantry Gold,https://tcgplayer-cdn.tcgplayer.com/product/238386_200w.jpg,62,2819,https://cpt.tcgcsv.com/LmW2,2025-03-10T17:56:52.793,1,0.25,0.4,1.99,0.35,,Normal,Common,BOL007,Equipment,Arms,Warrior,,,,,1,,
238387,Snapdragon Scalers,Snapdragon Scalers,https://tcgplayer-cdn.tcgplayer.com/product/238387_200w.jpg,62,2819,https://cpt.tcgcsv.com/MmW2,2021-05-14T04:03:14.213,1,0.98,1.93,3.87,1.97,,Normal,Common,BOL008,Equipment,Legs,Generic,,,,0,,,
238388,V of the Vanguard,V of the Vanguard,https://tcgplayer-cdn.tcgplayer.com/product/238388_200w.jpg,62,2819,https://cpt.tcgcsv.com/NmW2,2025-03-10T17:32:49.457,1,0.24,0.26,2.21,0.25,,Normal,Rare,BOL009,Action,Attack,Warrior,Light,,,3,3,1,2
238389,Battlefield Blitz,Battlefield Blitz,https://tcgplayer-cdn.tcgplayer.com/product/238389_200w.jpg,62,2819,https://cpt.tcgcsv.com/PmW2,2025-03-10T17:32:58.987,1,0.19,0.49,1.99,1.09,,Normal,Rare,BOL010,Action,Attack,Warrior,Light,,,3,5,1,1
238390,Courageous Steelhand,Courageous Steelhand,https://tcgplayer-cdn.tcgplayer.com/product/238390_200w.jpg,62,2819,https://cpt.tcgcsv.com/QmW2,2025-03-10T17:25:14.183,1,0.19,0.25,1.22,0.59,,Normal,Common,BOL012,Action,Attack,Warrior,Light,,,2,,0,1
238391,Bolt of Courage (Red),Bolt of Courage Red,https://tcgplayer-cdn.tcgplayer.com/product/238391_200w.jpg,62,2819,https://cpt.tcgcsv.com/RmW2,2025-03-10T17:25:24.803,1,0.19,0.23,1.23,0.19,,Normal,Common,BOL011,Action,Attack,Warrior,Light,,,3,3,0,1
238392,Cross the Line (Red),Cross the Line Red,https://tcgplayer-cdn.tcgplayer.com/product/238392_200w.jpg,62,2819,https://cpt.tcgcsv.com/SmW2,2025-03-10T17:54:14.087,1,0.11,0.21,1.03,0.13,,Normal,Common,BOL013,Action,Attack,Warrior,Light,,,3,5,1,1
238393,Engulfing Light (Red),Engulfing Light Red,https://tcgplayer-cdn.tcgplayer.com/product/238393_200w.jpg,62,2819,https://cpt.tcgcsv.com/TmW2,2025-03-10T17:49:34.667,1,0.18,0.21,1.09,,,Normal,Common,BOL014,Action,Attack,Warrior,Light,,,3,3,0,1
238394,Express Lightning (Red),Express Lightning Red,https://tcgplayer-cdn.tcgplayer.com/product/238394_200w.jpg,62,2819,https://cpt.tcgcsv.com/VmW2,2025-03-10T17:25:36.627,1,0.05,0.2,2.0,0.04,,Normal,Common,BOL015,Action,Attack,Warrior,Light,,,3,4,0,1
238397,Take Flight (Red),Take Flight Red,https://tcgplayer-cdn.tcgplayer.com/product/238397_200w.jpg,62,2819,https://cpt.tcgcsv.com/ZmW2,2025-03-10T17:25:47.227,1,0.15,0.25,1.33,0.15,,Normal,Common,BOL016,Action,Attack,Warrior,Light,,,3,4,1,1
238398,Valiant Thrust,Valiant Thrust,https://tcgplayer-cdn.tcgplayer.com/product/238398_200w.jpg,62,2819,https://cpt.tcgcsv.com/-mW2,2025-03-10T17:58:02.833,1,0.23,0.27,1.99,0.23,,Normal,Rare,BOL017,Action,Attack,Warrior,Light,,,3,4,1,1
238399,Courageous Steelhand (Yellow),Courageous Steelhand Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238399_200w.jpg,62,2819,https://cpt.tcgcsv.com/_mW2,2025-03-10T17:25:56.88,1,0.1,0.25,1.02,0.41,,Normal,Common,BOL018,Action,Attack,Warrior,Light,,,2,,0,2
238400,Cross the Line (Yellow),Cross the Line Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238400_200w.jpg,62,2819,https://cpt.tcgcsv.com/0nW2,2025-03-10T17:54:22.367,1,0.1,0.15,1.02,0.12,,Normal,Common,BOL019,Action,Attack,Warrior,Light,,,3,4,1,2
238401,Express Lightning (Yellow),Express Lightning Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238401_200w.jpg,62,2819,https://cpt.tcgcsv.com/2nW2,2025-03-10T17:26:07.273,1,0.12,0.15,1.1,0.13,,Normal,Common,BOL020,Action,Attack,Warrior,Light,,,3,3,0,2
238402,Take Flight (Yellow),Take Flight Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238402_200w.jpg,62,2819,https://cpt.tcgcsv.com/3nW2,2025-03-10T17:26:15.207,1,0.14,0.15,1.19,,,Normal,Common,BOL021,Action,Attack,Warrior,Light,,,3,3,1,2
